category,district,total_price,land_area_aana,build_up_area,floors,facing,road_width_feet,bedrooms,bathrooms,parking_cars,parking_bikes,house_age,is_under_construction,amenity_count,has_modular_kitchen,has_parquet,has_drainage,has_solar,has_parking,has_garden,is_wide_road,is_area_estimated,luxury_score,price_segment,is_incomplete_listing,log_land,log_build_up,neighborhood_encoded
0,2,32500000.0,3.3,1976.49,2.5,2,15.0,6.0,4.0,1.0,0.0,5.0,0,11,0,1,1,0,1,0,0,1,3,3,0,1.4586150226995167,7.58958364273901,17.378252251811972
0,2,28000000.0,3.1,1485.37,2.0,6,13.0,5.0,4.0,1.0,2.0,4.0,0,11,1,1,1,0,1,0,0,0,4,2,0,1.410986973710262,7.304092184863429,17.378252251811972
0,2,31000000.0,3.2,2299.92,3.0,7,12.0,6.0,4.0,2.0,2.0,4.0,0,11,1,1,1,0,1,1,0,1,5,2,0,1.4350845252893227,7.741064321938568,17.136122222322758
0,1,40000000.0,5.0,2994.69,2.5,4,13.0,4.0,4.0,0.0,0.0,5.0,0,11,0,1,1,0,1,0,0,1,3,3,0,1.791759469228055,8.004929867988526,17.51397992252461
0,1,35000000.0,6.0,3593.62,2.5,1,15.0,3.0,3.0,0.0,3.0,7.0,0,11,0,1,1,0,0,0,0,1,2,3,0,1.9459101490553132,8.187193562203863,17.038930191624804
0,2,31500000.0,5.2,2491.58,2.0,0,20.0,6.0,5.0,1.0,2.0,4.0,0,11,1,1,0,0,0,0,0,1,2,2,0,1.824549292051046,7.821073597609785,17.136122222322758
0,2,29000000.0,3.2,2700.0,2.5,4,13.0,6.0,6.0,1.0,2.0,5.0,0,11,1,1,1,0,1,0,0,0,4,2,0,1.4350845252893227,7.901377353792616,17.152804315578063
0,2,42500000.0,4.2,3018.64,3.0,0,20.0,5.0,4.0,2.0,2.0,4.0,0,11,1,0,0,0,1,0,0,1,2,3,0,1.6486586255873816,8.012892897965386,17.136122222322758
0,2,46500000.0,4.0,1916.6,2.0,5,12.0,4.0,4.0,2.0,2.0,8.0,0,11,1,1,1,0,1,0,0,1,4,4,0,1.6094379124341003,7.558829683120175,17.598201792760147
0,2,40000000.0,4.0,2395.75,2.5,1,20.0,5.0,4.0,2.0,1.0,2.0,0,10,1,1,0,0,1,0,0,1,3,3,0,1.6094379124341003,7.781868931957106,17.598201792760147
0,2,59500000.0,5.0,2299.0,3.0,2,16.0,6.0,5.0,2.0,1.0,4.0,0,11,1,1,0,0,1,0,0,0,3,4,0,1.791759469228055,7.7406644019172415,18.104619006716966
0,2,39000000.0,5.0,2994.69,2.5,0,13.0,4.0,4.0,2.0,0.0,4.0,0,11,1,0,0,0,1,0,0,1,2,3,0,1.791759469228055,8.004929867988526,17.291630144945547
0,2,32000000.0,4.0,2874.9,3.0,0,13.0,8.0,3.0,1.0,2.0,4.0,0,11,0,0,0,0,1,1,0,1,2,2,0,1.6094379124341003,7.964120947721826,17.013713688849553
