ad_id,Type,Title,location,Price,Land_Size,Road_Type,Road_Size
HB-8F39AE,LandPlotted,"Planning Land on Sale at Godamchaur, GJBLOS 3413","Godamchaur (Godawari), Lalitpur",1400000.0,4.0,Gravel,ThirteenToTwentyFeet
HB-BC6480,LandPlotted,"Planning Land on Sale at Chhampi, GJBLOS 3412","Champi (Karyabinayak), Lalitpur",1000000.0,4.0,Gravel,ThirteenToTwentyFeet
HB-0A4E8D,LandIndividual,"4 ana Land on sale in Budhanilkantha, Bhangal","bangal, Bhangal (Budhanilkantha), Kathmandu",4500000.0,4.0,Pitched,ThirteenToTwentyFeet
HB-065DCD,LandIndividual,Land for sale in Budhanilkantha,"budanilkantha, Budhanilkantha, Kathmandu",2900000.0,16.0,Pitched,ThirteenToTwentyFeet
HB-8FA3EE,LandIndividual,Land for sale in Budhanilkantha,"budanilkantha, Budhanilkantha, Kathmandu",5200000.0,11.0,Pitched,ThirteenToTwentyFeet
HB-0C9729,LandIndividual,Land for sale Bhaktapur Suryebinayek Sirutar,"Balkot Dadhikot Sirutar Gamcha Patletar Gundu, Ananta Area, Bhaktapur",3600000.0,11.0,Pitched,AboveTwentyFeet
HB-616526,LandIndividual,Land for Sale in Harisiddi 4aana 2paisa 2dam,"Harisiddhi, Lalitpur",2900000.0,4.5,Soil,ThirteenToTwentyFeet
HB-1F9A25,LandIndividual,Land for Sale in Harisiddi 5aana,"Harisiddhi, Lalitpur",3300000.0,5.0,Soil,ThirteenToTwentyFeet
HB-87C03E,LandIndividual,Land for Sale in Harisiddi 3.5aana,"Harisiddhi, Lalitpur",3200000.0,3.5,Soil,ThirteenToTwentyFeet
HB-5CE0F4,LandIndividual,Land for Sale in Harisiddi 4aana 3 dam,"Harisiddhi, Lalitpur",3500000.0,4.0,Soil,ThirteenToTwentyFeet
HB-2B4C32,LandPlotted,Land for Sale in Harisiddi 5aana,"Harisiddhi, Lalitpur",3500000.0,5.0,Soil,ThirteenToTwentyFeet
HB-2A8293,LandIndividual,Land for Sale in Harisiddi 3aana,"Harisiddhi, Lalitpur",3300000.0,3.0,Soil,ThirteenToTwentyFeet
HB-BB10E3,LandIndividual,Land for Sale in Harisiddi 3aana 3 paisa,"Harisiddhi, Lalitpur",2900000.0,3.75,Soil,ThirteenToTwentyFeet
HB-756F64,LandIndividual,Land for Sale in Harisiddi 3aana 1 paisa,"Harisiddhi, Lalitpur",3200000.0,3.25,Soil,ThirteenToTwentyFeet
HB-821A5D,LandIndividual,Land for Sale in Harisiddi 3aana 3 paisa,"Harisiddhi, Lalitpur",3600000.0,3.75,Soil,ThirteenToTwentyFeet
HB-532000,LandIndividual,Land for sale in Budhanilkantha,"budanilkantha, Budhanilkantha, Kathmandu",6100000.0,8.0,Pitched,ThirteenToTwentyFeet
HB-45318E,LandIndividual,"Land on sale at Budanilkantha, Kathmandu","budanilkantha, Budhanilkantha, Kathmandu",4000000.0,3.0,Pitched,ThirteenToTwentyFeet
HB-0BA4BC,LandIndividual,"Land on sell at Bhangal height,kathmandu","bangal, Bhangal (Budhanilkantha), Kathmandu",14000000.0,3.5,Pitched,ThirteenToTwentyFeet
HB-72F8A1,LandIndividual,"Land on Sale at Chyasundol, code no: GJBLOS 3410","budanilkantha, Hepali Height (Budhanilkantha), Kathmandu",3000000.0,5.75,Gravel,ThirteenToTwentyFeet
HB-D75346,Land - Individual,"6 aana land for sale, Hepali height, Budhanilkanta","धरमपुर, Budhanilkantha-07, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44607, नेपाल",5700000.0,6.0,????????? ??? ?????,13 - 20 Ft.
HB-23BC9B,Land - Individual,"15 aana land for sale, Basundhara, kathmandu","नारायण टोल, बसुन्धरा, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44606, नेपाल",6200000.0,15.0,Basundhara kathmandu,Above 20 Ft.
HB-62BD5A,4 Aana,५० रोपनि (४ आनाका अनि ४.५ आनाका घडेरि हरु),"H T Brick Factory, BHAKTAPUR NALA ROAD (GANESHMAN MARG), Khatritol, Changunarayan-09, Sudal, चाँगुनारायण नगरपालिका, भक्तपुर, बाग्मती प्रदेश, 44800, नेपाल",10000000.0,4.0,ThirteenToTwentyFeet,LandIndividual
HB-71E1A2,LandIndividual,Land for sale in Bansbari,"basbari, Bansbari, Kathmandu",6200000.0,8.0,Pitched,ThirteenToTwentyFeet
HB-5D4BF3,LandIndividual,Land for sale in Baluwatar,"Baluwatar, Kathmandu",8700000.0,4.5,Pitched,ThirteenToTwentyFeet
HB-11821F,Non,24 Aana land sale house free dhobighat,"Dhobighat, Lalitpur",205000000.0,24.0,ThirteenToTwentyFeet,LandIndividual
HB-37A7AD,LandCommercialUse,14 Aana land for sale at thasikhel ringroad,"tasikhel, Thasikhel, Lalitpur",9000000.0,14.0,Pitched,AboveTwentyFeet
