Price,Location,Road_Access,Facing_Direction,Land_AREA
Rs. 68 Lac/aana,"Sukedhara, Kathmandu",24 Feet /Black Topped,East,
Rs. 25 Lac/aana,"Taukhel, Lalitpur",,East,4.1 aana
Rs. 65 Lac/aana,"Lokanthali, Bhaktapur",26 Feet /Soil Stabilized,East,5.2 aana
Rs. 52 Lac/aana,"Bhaisepati, Lalitpur",,South-East,
Rs. 35 Lac/aana,"Dahachowk, Kathmandu",13 Feet /Soil Stabilized,South-East,
Rs. 25 Lac/aana,"Dahachowk, Kathmandu",13 Feet /Soil Stabilized,South-East,
Rs. 10 Lac/aana,"Chapagaun, Lalitpur",20 Feet /Soil Stabilized,West,
Rs. 28 Lac/aana,"Thaiba, Lalitpur",10 Feet /Soil Stabilized,South,
Rs. 65 Lac/aana,"Lokanthali, Bhaktapur",20 Feet /Soil Stabilized,South,
Price on call,"Lakhan Chowk, Rupandehi",25 Feet /Black Topped,East,0.12 kattha
Rs. 58 Lac/aana,"Pepsicola, Kathmandu",13 Feet /Paved,East,4.2 aana
Rs. 65 Lac/aana,"Balkot, Bhaktapur",26 Feet /Paved,North,
Rs. 18.5 Lac/aana,"Machhe Gaun, Kathmandu",18 Feet /Dhalan,South-East,5.2 aana
Rs. 22 Lac/aana,"Dhapakhel, Lalitpur",18 Feet /Gravelled,North-East,
Rs. 21 Lac/aana,"Sudal, Bhaktapur",20 Feet /Black Topped,South-East,4.1 aana
Rs. 34 Lac/aana,"Sipadol, Bhaktapur",13 Feet /Gravelled,North-East,
Rs. 42 Lac/aana,"Sanothimi, Bhaktapur",20 Feet /Soil Stabilized,West,3.3 aana
Rs. 45 Lac/aana,"Dhapasi, Kathmandu",13 Feet /Gravelled,South-East,5.2 aana
Rs. 28 Lac/aana,"Dadhikot, Bhaktapur",20 Feet /Paved,North,
Rs. 35 Lac/aana,"Syuchatar, Kathmandu",13 Feet /Dhalan,South-West,
Rs. 35 Lac/aana,"Sirutar, Bhaktapur",13 Feet /Soil Stabilized,South,
Rs. 47 Lac/aana,"Bhaisepati, Lalitpur",13 Feet /Soil Stabilized,South,6.3 aana
Rs. 95 Lac,"Namgel, Kathmandu",13 Feet /Black Topped,South,3.2 aana
Rs. 37 Lac/aana,"Sirutar, Bhaktapur",13 Feet /Soil Stabilized,East,4.2 aana
Rs. 65 Lac/aana,"Bhaisepati, Lalitpur",13 Feet /Black Topped,West,
Rs. 1.05 Cr/aana,"Kalanki, Kathmandu",10 Feet /Black Topped,East,
Rs. 28 Lac/aana,"Jhulpokhari, Kathmandu",13 Feet /Soil Stabilized,South,
Rs. 49 Lac/aana,"Balkot, Bhaktapur",13 Feet /Paved,North-East,4.2 aana
Rs. 40 Lac/aana,"Tikathali, Lalitpur",13 Feet /Paved,South,5.1 aana
Rs. 45 Lac/aana,"Gatthaghar, Bhaktapur",13 Feet /Paved,East,3.2 aana
Rs. 55 Lac/aana,"Lokanthali, Bhaktapur",13 Feet /Paved,South-West,
Rs. 75 Lac/aana,"Imadol, Lalitpur",24 Feet /Dhalan,North-East,
Rs. 24 Lac/aana,"Jhulpokhari, Kathmandu",13 Feet /Soil Stabilized,East,4.2 aana
Rs. 50 Lac/aana,"Gatthaghar, Bhaktapur",20 Feet /Soil Stabilized,East,3.2 aana
Rs. 22 Lac/aana,"Dadhikot, Bhaktapur",13 Feet /Soil Stabilized,East,
Rs. 52 Lac/aana,"Kamerotar, Bhaktapur",20 Feet /Soil Stabilized,South,4.3 aana
Rs. 27 Lac/aana,"Sirutar, Bhaktapur",13 Feet /Soil Stabilized,East,
Rs. 66 Lac/aana,"Lokanthali, Bhaktapur",13 Feet /Soil Stabilized,North-West,
Rs. 22 Lac/aana,"Mulpani, Kathmandu",13 Feet /Soil Stabilized,North,
Rs. 38 Lac/aana,"Balkot, Bhaktapur",13 Feet /Soil Stabilized,East,6.1 aana
Rs. 26 Lac/aana,"Jhaukhel, Bhaktapur",13 Feet /Gravelled,West,
Rs. 29 Lac/aana,"Thali, Kathmandu",,South-East,3.3 aana
Rs. 65 Lac/aana,"Bhaisepati, Lalitpur",20 Feet /Paved,South-East,6.2 aana
Rs. 22 Lac/aana,"Tathali, Bhaktapur",10 Feet /Black Topped,South,
Rs. 70 Lac/aana,"Chandol, Kathmandu",13 Feet /Black Topped,East,5.2 aana
Rs. 30 Lac/aana,"Ramkot, Kathmandu",20 Feet /Black Topped,South,4.3 aana
Rs. 41 Lac/aana,"Balkot, Bhaktapur",16 Feet /Paved,East,3.1 aana
Rs. 58 Lac/aana,"Bhaisepati, Lalitpur",20 Feet /Paved,South,
Rs. 40 Lac/aana,"Balkot, Bhaktapur",13 Feet /Paved,West,
Rs. 42 Lac/aana,"Suryabinayak, Bhaktapur",18 Feet /Black Topped,South-East,4.1 aana
Rs. 73 Lac/aana,"Chamati, Kathmandu",26 Feet /Black Topped,South,4.3 aana
Rs. 40 Lac/aana,"Lokanthali, Bhaktapur",11 Feet /Soil Stabilized,South,5.2 aana
Rs. 47 Lac/aana,"Narayantar, Kathmandu",13 Feet /Paved,North-East,5.1 aana
Rs. 22 Lac/aana,"Bode, Bhaktapur",20 Feet /Paved,West,
Rs. 55 Lac/aana,"Pepsicola, Kathmandu",13 Feet /Soil Stabilized,North,4.2 aana
Rs. 38 Lac/aana,"Bhaisepati, Lalitpur",13 Feet /Soil Stabilized,South,7.3 aana
Rs. 46 Lac/aana,"Lokanthali, Bhaktapur",20 Feet /Soil Stabilized,North-East,3.2 aana
Rs. 65 Lac/aana,"Pepsicola, Kathmandu",14 Feet /Paved,East,
Rs. 55 Lac/aana,"Manamaiju, Kathmandu",,South-West,5.1 aana
Rs. 49 Lac/aana,"Lokanthali, Bhaktapur",26 Feet /Soil Stabilized,North-East,
Rs. 45 Lac/aana,"Budhanilkantha, Kathmandu",,North,
Rs. 68 Lac/aana,"Baluwatar, Kathmandu",,South,
Rs. 2.5 Cr,"Pasikot, Kathmandu",20 Feet /Black Topped,East,5.3 aana
Rs. 45 Lac/aana,"Lokanthali, Bhaktapur",10 Feet /Paved,South,
Rs. 65 Lac/aana,"Pepsicola, Kathmandu",14 Feet /Paved,East,
Rs. 32 Lac/aana,"Lubhu, Lalitpur",20 Feet /Soil Stabilized,South-East,
Rs. 60 Lac/aana,"Pepsicola, Kathmandu",20 Feet /Soil Stabilized,West,
Rs. 32 Lac/aana,"Thali, Kathmandu",13 Feet /Dhalan,West,
Rs. 45 Lac/aana,"Imadol, Lalitpur",13 Feet /Paved,North-East,
Rs. 65 Lac/aana,"Dhobighat, Lalitpur",,North,
Rs. 48 Lac/aana,"Ochu Height, Lalitpur",13 Feet /Soil Stabilized,East,
Rs. 40 Lac/aana,"Changathali, Lalitpur",13 Feet /Dhalan,South,
Rs. 22 Lac/aana,"Hariyalinagar, Kathmandu",16 Feet /Dhalan,North,
Rs. 28 Lac/aana,"Lubhu, Lalitpur",20 Feet /Soil Stabilized,South,
Rs. 65 Lac/aana,"Chhauni, Kathmandu",,South,
Rs. 17 Lac/aana,"White Gumba, Kathmandu",13 Feet /Black Topped,East,
Rs. 9.5 Lac/aana,"Baluwa, Kathmandu",13 Feet /Gravelled,,3.1 aana
Rs. 35 Lac/aana,"Ramkot, Kathmandu",13 Feet /Dhalan,South,3.2 aana
Rs. 40 Lac/aana,"Harisiddhi, Lalitpur",20 Feet /Soil Stabilized,South,4.2 aana
Rs. 15 Lac/aana,"Gundu, Bhaktapur",,East,
Rs. 43 Lac/aana,"Budhanilkantha, Kathmandu",16 Feet /Black Topped,South-West,
Price on call,"Shivanagar, Chitwan",20 Feet /Black Topped,East,
Rs. 45 Lac/aana,"Bhaisepati, Lalitpur",13 Feet /Soil Stabilized,South,
Rs. 68 Lac/aana,"Tokha, Kathmandu",13 Feet /Black Topped,West,
Rs. 35 Lac/aana,"Changathali, Lalitpur",20 Feet /Soil Stabilized,South-East,
Rs. 65 Lac/aana,"Pepsicola, Kathmandu",20 Feet /Soil Stabilized,East,4.2 aana
Price on call,"Kusunti, Lalitpur",26 Feet /Soil Stabilized,East,
Rs. 65 Lac/aana,"Hepali Height, Kathmandu",,South,3.2 aana
Rs. 65 Lac/aana,"Bansbari, Kathmandu",16 Feet /Black Topped,South,
Rs. 56 Lac/aana,"Bansbari, Kathmandu",16 Feet /Dhalan,East,
Rs. 55 Lac/aana,"Budhanilkantha, Kathmandu",,North,
Rs. 38 Lac/aana,"Balkot, Bhaktapur",13 Feet /Paved,East,
Rs. 31 Lac/aana,"Sirutar, Bhaktapur",13 Feet /Soil Stabilized,East,3.2 aana
Rs. 28 Lac/aana,"Lubhu, Lalitpur",20 Feet /Paved,South,
Rs. 30 Lac/aana,"Tikathali, Lalitpur",13 Feet /Soil Stabilized,South,
Rs. 55 Lac/aana,"Sanagaun, Lalitpur",13 Feet /Paved,East,2.2 aana
Rs. 76 Lac/aana,"Maharajgunj, Kathmandu",20 Feet /Black Topped,South-East,6.3 aana
Price on call,"Rampur, Dhanusa",20 Feet /Dhalan,West,0.4.1 kattha
"Rs. 60,000 /m","Banasthali, Kathmandu",,,
Rs. 27 Lac/aana,"Sirutar, Bhaktapur",20 Feet /Soil Stabilized,South-West,
Rs. 33 Lac/aana,"Sirutar, Bhaktapur",13 Feet /Soil Stabilized,East,
Rs. 40 Lac/aana,"Sitapakha, Lalitpur",13 Feet /Soil Stabilized,South,
Rs. 14 Lac/ropani,"Sunkhani, Nuwakot",12 Feet /Soil Stabilized,North,
Rs. 12.5 Cr,"Sunkhani, Nuwakot",16 Feet /Soil Stabilized,East,
Rs. 29 Lac/aana,"Lubhu, Lalitpur",13 Feet /Soil Stabilized,North-West,3.2 aana
Rs. 40 Lac/aana,"Lubhu, Lalitpur",13 Feet /Paved,East,3.2 aana
Rs. 45 Lac/aana,"Tikathali, Lalitpur",13 Feet /Paved,South,
Rs. 8 Lac/dhur,"Birtamode, Jhapa",20 Feet /Soil Stabilized,North,
Rs. 39 Lac/aana,"Kadaghari, Kathmandu",20 Feet /Soil Stabilized,South,
Rs. 20 Lac/aana,"Thali, Kathmandu",13 Feet /Black Topped,East,
Rs. 25 Lac/aana,"Mulpani, Kathmandu",15 Feet /Gravelled,West,3.3 aana
Rs. 42 Lac/aana,"Harisiddhi, Lalitpur",20 Feet /Paved,West,4.2 aana
Rs. 70 Lac/aana,"Kharibot, Kathmandu",13 Feet /Black Topped,North-East,
Rs. 17 Lac/aana,"Kavresthali, Kathmandu",13 Feet /Gravelled,South-West,
Price on call,"Mechinagar, Jhapa",7 Feet /Black Topped,West,
Rs. 45 Lac/aana,"Bhaisepati, Lalitpur",13 Feet /Soil Stabilized,South,
Rs. 80 Lac/aana,"Mahalaxmisthan, Lalitpur",13 Feet /Paved,South,
