district,property_type,property_face,road_type,furnishing,municipality,ward_no,neighborhood,bedrooms,kitchens,bathrooms,living_rooms,parking,total_floors,total_price,land_size_aana,built_up_sqft,house_age,road_width_feet,hospital_m,airport_m,pharmacy_m,bhatbhateni_m,school_m,college_m,public_transport_m,police_station_m,boudhanath_m,ring_road_m
Kathmandu,Residential,East,High Access,Full Furnished,Tokha,4,Basundhara,5.0,1.0,6.0,2.0,2.0,4.0,52500000.0,6.0,1711.25,9.0,26.0,200.0,7000.0,100.0,1000.0,100.0,180.4,50.0,300.0,6000.0,300.0
Kathmandu,Residential,North-East,High Access,Unfurnished,Tokha,8,Tokha,5.0,3.0,4.0,3.0,1.0,2.5,27000000.0,3.0,941.18,10.0,10.0,300.0,8000.0,200.0,300.0,100.0,220.0,300.0,500.0,7000.0,3000.0
Kathmandu,Residential,East,Low Access,Semi Furnished,Budhanilkantha,6,Budhanilkantha,6.0,1.0,5.0,3.0,2.0,3.0,33500000.0,4.5,1026.75,9.0,16.0,300.0,5000.0,300.0,500.0,300.0,300.0,200.0,500.0,4000.0,11000.0
Kathmandu,Residential,East,Low Access,Semi Furnished,Tokha,3,Tokha,5.0,2.0,3.0,2.0,1.0,2.5,28000000.0,3.0,855.62,0.0,13.0,200.0,5000.0,200.0,300.0,200.0,300.0,100.0,400.0,4000.0,2300.0
Kathmandu,Residential,South-East,High Access,Semi Furnished,Budhanilkantha,3,Budhanilkantha,6.0,2.0,5.0,3.0,2.0,2.5,58500000.0,6.25,2407.73,3.0,13.0,2000.0,8000.0,50.0,3000.0,200.0,300.0,100.0,100.0,8000.0,200.0
Kathmandu,Residential,South-East,High Access,Semi Furnished,Budhanilkantha,2,Chapali,8.0,3.0,5.0,3.0,3.0,2.5,75000000.0,9.0,3080.25,8.0,26.0,2000.0,8000.0,50.0,4000.0,50.0,200.0,300.0,200.0,8000.0,250.0
Kathmandu,Residential,North-East,High Access,Semi Furnished,Budhanilkantha,5,Budhanilkantha,6.0,2.0,4.0,2.0,2.0,2.5,42500000.0,5.0,1711.25,9.0,20.0,500.0,8500.0,500.0,5000.0,500.0,500.0,500.0,500.0,8000.0,8000.0
Kathmandu,Residential,East,High Access,Unfurnished,Budhanilkantha,4,Budhanilkantha,7.0,2.0,5.0,2.0,2.0,2.5,31000000.0,3.5,855.62,3.0,13.0,1000.0,6000.0,100.0,2000.0,200.0,1000.0,200.0,1000.0,5000.0,3000.0
Kathmandu,Residential,East,Low Access,Semi Furnished,Tokha,3,Tokha,5.0,2.0,3.0,1.0,1.0,2.5,35000000.0,4.0,1197.87,9.0,13.0,200.0,4000.0,200.0,300.0,200.0,300.0,300.0,500.0,4000.0,2000.0
Kathmandu,Residential,South,High Access,Unfurnished,Kageshwori Manohara,6,Mulpani,4.0,1.0,4.0,1.0,2.0,2.5,25000000.0,3.15,2125.12,4.5,16.0,1000.0,7000.0,438.0,3000.0,1000.0,1000.0,1000.0,1000.0,3000.0,4000.0
