district,property_type,property_face,road_type,furnishing,municipality,ward_no,neighborhood,bedrooms,kitchens,bathrooms,living_rooms,parking,total_floors,total_price,land_size_aana,built_up_sqft,house_age,road_width_feet,hospital_m,airport_m,pharmacy_m,bhatbhateni_m,school_m,college_m,public_transport_m,police_station_m,boudhanath_m,ring_road_m,is_corner_plot,neighborhood_encoded,municipality_encoded,log_land,log_built,floor_area_ratio,urban_centrality,amenity_access_score,house_size_score,comm_road_premium,neighborhood_x_district,municipality_x_ward,age_condition_score,rooms_total,bath_per_bed,sqft_per_room,floors_x_land,luxury_score,parking_premium
1,1,0,0,2,Kathmandu,13,Tahachal,3.0,1.0,1.0,1.0,2.0,2.5,21000000.0,2.75,941.18,36.0,11.0,700.0,10000.0,248.0,3000.0,900.0,4600.0,100.0,970.0,10000.0,1000.0,0,17.72537850631592,17.620749917248713,1.3217558399823195,6.848196339124917,0.9999920313433827,0.06203783693443606,0.6975184963738614,9.0516435045839,11.0,17.72537850631592,229.06974892423327,0.08108108108108109,4.0,0.3333333333333333,235.295,6.875,1.252762968495368,4.0
1,1,6,0,1,Budhanilkantha,13,Budhanilkantha,6.0,2.0,3.0,2.0,1.0,2.5,29500000.0,4.0,1369.0,3.0,13.0,50.0,6000.0,50.0,200.0,250.0,400.0,200.0,300.0,5000.0,350.0,1,17.65948418097955,17.57755518264029,1.6094379124341003,7.222566018822171,1.0,0.0686791129098372,0.8782118589669281,11.624271575750626,13.0,17.65948418097955,228.50821737432375,0.5,8.0,0.5,171.125,10.0,1.252762968495368,2.0
1,1,0,0,0,Kathmandu,9,Battisputali,12.0,1.0,4.0,2.0,1.0,3.0,69000000.0,4.75,1369.0,46.0,19.0,2500.0,3000.0,230.0,3000.0,500.0,1500.0,500.0,560.0,3000.0,500.0,0,17.409534447603104,17.620749917248713,1.749199854809259,7.222566018822171,0.8421052631578947,0.07030713769727799,0.6332653973429863,12.63371143147403,19.0,17.409534447603104,158.5867492552384,0.02127659574468085,14.0,0.3333333333333333,97.78571428571429,14.25,0.46209812037329684,2.0
1,1,4,0,2,Kathmandu,7,Samakhusi,9.0,2.0,5.0,3.0,1.0,2.5,55100000.0,5.0,1369.0,8.0,12.0,500.0,7000.0,100.0,1000.0,50.0,240.4,50.0,500.0,6000.0,500.0,0,17.670450106424845,17.620749917248713,1.791759469228055,7.222566018822171,0.8,0.06635517611170706,0.8862080976366596,12.9411010563494,12.0,17.670450106424845,123.34524942074098,0.3333333333333333,12.0,0.5555555555555556,114.08333333333333,12.5,2.0879382808256137,2.0
1,1,7,0,0,Nagarjun,10,Syuchatar,11.0,1.0,4.0,1.0,2.0,3.5,35000000.0,4.5,1026.75,18.0,13.0,1500.0,13000.0,480.0,3000.0,250.0,2000.0,1500.0,830.0,14000.0,1500.0,0,17.293868843278084,17.31717635288628,1.7047480922384253,6.935127225777988,0.6666666666666666,0.05957108205599624,0.6163536293075276,11.822644907575787,13.0,17.293868843278084,173.17176352886278,0.05263157894736842,12.0,0.36363636363636365,85.5625,15.75,0.5469372351913725,4.0
1,1,4,0,0,Kathmandu,13,Tahachal,4.0,1.0,5.0,1.0,3.0,3.5,50000000.0,4.5,1540.12,19.0,10.0,200.0,10000.0,220.0,5000.0,300.0,700.0,1000.0,420.0,10000.0,1000.0,0,17.72537850631592,17.620749917248713,1.7047480922384253,7.340264703800292,0.999996753510267,0.06203783693443606,0.693773786844303,12.513302250328598,10.0,17.72537850631592,229.06974892423327,0.05,5.0,1.25,308.024,15.75,1.8800967459703428,6.0
1,1,2,1,0,Budhanilkantha,1,Budhanilkantha,6.0,2.0,6.0,2.0,2.0,2.5,107500000.0,9.5,1711.25,3.0,13.0,2000.0,10000.0,200.0,5000.0,200.0,200.0,200.0,200.0,8000.0,4000.0,1,17.65948418097955,17.57755518264029,2.3513752571634776,7.445563574078014,0.5263157894736842,0.057127383861774274,0.6972396662407654,17.507313963724712,13.0,17.65948418097955,17.57755518264029,0.25,8.0,1.0,213.90625,23.75,1.252762968495368,4.0
1,0,1,0,2,Kathmandu,22,New Road,9.0,5.0,4.0,2.0,1.0,4.5,35000000.0,1.0,342.25,10.0,12.0,1000.0,6000.0,210.0,3500.0,500.0,400.0,600.0,250.0,6500.0,600.0,0,18.377330727630756,17.620749917248713,0.6931471805599453,5.83845904464808,1.0,0.06623272602628824,0.6487386626096538,4.046911425612529,0.0,18.377330727630756,387.65649817947167,0.2727272727272727,11.0,0.4444444444444444,31.113636363636363,4.5,2.2729974563179,1.0
1,1,4,0,2,Kathmandu,4,Dhumbarahi,6.0,3.0,3.0,1.0,1.0,2.5,29000000.0,3.5,1026.75,34.0,11.0,1000.0,2000.0,90.0,1230.0,100.0,240.0,100.0,310.0,2000.0,1450.0,0,17.544796190561573,17.620749917248713,1.5040773967762742,6.935127225777988,0.8571428571428571,0.06719793087640023,0.799789255942748,10.43096810406042,11.0,17.544796190561573,70.48299966899485,0.08571428571428572,7.0,0.5,146.67857142857142,8.75,1.879144452743052,2.0
1,1,6,0,2,Kathmandu,6,Guheshwori,4.0,1.0,4.0,2.0,1.0,2.5,30000000.0,4.0,1026.75,14.0,12.0,1000.0,3000.0,90.0,1230.0,100.0,420.0,100.0,370.0,1000.0,1150.0,1,17.003335528290112,17.620749917248713,1.6094379124341003,6.935127225777988,0.75,0.0664227302783338,0.799789255942748,11.161656684721018,12.0,17.003335528290112,105.72449950349227,0.2,6.0,1.0,171.125,10.0,3.758288905486104,2.0
1,0,2,0,2,Kathmandu,6,Mahankal,9.0,2.0,3.0,2.0,1.0,4.0,33000000.0,3.5,1026.75,12.0,15.0,1000.0,3000.0,90.0,1230.0,100.0,420.0,100.0,370.0,1000.0,1150.0,1,17.147608796592277,17.620749917248713,1.5040773967762742,6.935127225777988,0.8571428571428571,0.0664227302783338,0.799789255942748,10.43096810406042,0.0,17.147608796592277,105.72449950349227,0.23076923076923078,11.0,0.3333333333333333,93.3409090909091,14.0,1.6094379124341003,1.0
1,1,0,1,1,Tokha,4,Tokha,6.0,3.0,5.0,1.0,2.0,3.5,28500000.0,3.37,855.62,0.0,13.0,400.0,4000.0,300.0,500.0,50.0,300.0,300.0,400.0,4000.0,2200.0,0,17.23738480466218,17.31608987311448,1.4747630091074988,6.7529944130291835,0.7418354275359649,0.06253530629898432,0.7716094007827304,9.959066361045046,13.0,17.23738480466218,69.26435949245791,2.0,7.0,0.8333333333333334,122.23142857142857,11.795,2.5067956612937903,4.0
1,1,7,0,1,Kageshwori Manohara,6,Jorpati,6.0,3.0,4.0,3.0,3.0,3.5,29000000.0,3.0,1026.75,1.0,13.0,1000.0,8000.0,398.0,4000.0,1000.0,1000.0,500.0,500.0,3000.0,4000.0,0,17.232311425058544,17.17489537721146,1.3862943611198906,6.935127225777988,1.0,0.05786494077135059,0.6173211030452346,9.614127766745055,13.0,17.232311425058544,103.04937226326876,1.0,9.0,0.6666666666666666,114.08333333333333,10.5,2.0054365290350322,6.0
1,1,3,0,0,Kageshwori Manohara,6,Mulpani,4.0,1.0,4.0,1.0,2.0,2.5,50000000.0,5.0,2125.12,2.0,20.0,1000.0,7000.0,498.0,4000.0,1000.0,1000.0,500.0,500.0,2000.0,4000.0,1,17.174584248119572,17.17489537721146,1.791759469228055,7.6620540013353295,1.241852447041636,0.05831547169951634,0.6113102897843558,13.728557810629285,20.0,17.174584248119572,103.04937226326876,0.3333333333333333,5.0,1.0,425.024,12.5,1.252762968495368,4.0
1,1,5,0,2,Kathmandu,14,Ravi Bhawan,6.0,2.0,3.0,1.0,1.0,2.0,22000000.0,3.75,1026.75,10.0,4.0,470.0,5600.0,106.0,1480.0,460.0,360.0,356.0,660.0,6000.0,500.0,1,17.346489078291803,17.620749917248713,1.55814461804655,6.935127225777988,0.8,0.06735228357800294,0.7096517124066671,10.805931162314073,4.0,17.346489078291803,246.69049884148197,0.2727272727272727,7.0,0.5,146.67857142857142,7.5,1.6479184330021646,2.0
1,1,0,1,1,Tokha,11,Tokha,12.0,3.0,6.0,3.0,1.0,3.0,28000000.0,3.5,1026.75,1.0,13.0,400.0,5000.0,300.0,400.0,300.0,600.0,400.0,600.0,4000.0,4000.0,0,17.23738480466218,17.31608987311448,1.5040773967762742,6.935127225777988,0.8571428571428571,0.059482409836398076,0.6841091964222832,10.43096810406042,13.0,17.23738480466218,190.47698860425925,1.0,15.0,0.5,68.45,10.5,1.3862943611198906,2.0
1,1,0,1,2,Budhanilkantha,7,Budhanilkantha,4.0,1.0,5.0,3.0,5.0,2.5,225000000.0,32.0,2000.0,14.0,13.0,500.0,4000.0,100.0,2000.0,500.0,500.0,100.0,1000.0,4000.0,2000.0,0,17.65948418097955,17.57755518264029,3.4965075614664802,7.601402334583733,0.18261504747991233,0.06291008749145735,0.7550770826971502,26.57836074062098,13.0,17.65948418097955,123.04288627848203,0.2,7.0,1.25,285.7142857142857,80.0,4.69786113185763,10.0
1,1,0,0,2,Budhanilkantha,10,Kapan,7.0,3.0,4.0,3.0,1.0,3.5,46000000.0,4.0,1026.75,3.0,13.0,1000.0,3000.0,90.0,1400.0,100.0,240.0,100.0,310.0,2000.0,1110.0,0,17.289342158205557,17.57755518264029,1.6094379124341003,6.935127225777988,0.75,0.06657915221012915,0.799789255942748,11.161656684721018,13.0,17.289342158205557,175.77555182640288,0.75,10.0,0.5714285714285714,102.675,14.0,2.5784183944736125,2.0
1,1,2,0,2,Nagarjun,2,Swayambhu,7.0,3.0,4.0,2.0,1.0,3.0,33000000.0,4.5,1197.87,9.0,13.0,1000.0,8000.0,110.0,1600.0,100.0,580.0,200.0,630.0,7000.0,1920.0,1,17.460226122700004,17.31717635288628,1.7047480922384253,7.089134725462836,0.7777745312880447,0.060430544756183376,0.7623200180657432,12.085188898853943,13.0,17.460226122700004,34.63435270577256,0.30000000000000004,9.0,0.5714285714285714,133.09666666666666,13.5,2.3765046190626693,2.0
