district,road_type,land_size_aana,price_per_aana,is_large_plot,road_width_feet,is_wide_road,facing,source,log_land,neighborhood_encoded
1,3,19.3,7000000.0,0,13.0,0,7,0,3.0106208860477417,15.28609246171445
1,3,24.0,2300000.0,0,13.0,0,7,0,3.2188758248682006,14.904476029399897
2,0,10.0,8500000.0,0,13.0,0,7,0,2.3978952727983707,15.415943755967746
1,0,20.0,19000000.0,0,13.0,0,7,0,3.044522437723423,16.34044893073437
1,0,12.5,6000000.0,0,13.0,0,7,0,2.6026896854443837,15.797351059185896
1,3,5.25,5500000.0,0,13.0,0,7,0,1.8325814637483102,15.371640665662257
1,0,10.125,2100000.0,0,13.0,0,7,0,2.409194828052304,14.871275810783608
1,0,4.5,6500000.0,0,13.0,0,7,0,1.7047480922384253,15.767583314110528
1,3,5.875,4000000.0,0,13.0,0,7,0,1.927891643552635,15.315970225277846
1,0,14.0,6500000.0,0,13.0,0,7,0,2.70805020110221,15.28609246171445
0,0,4.25,5500000.0,0,13.0,0,7,0,1.6582280766035324,15.371640665662257
1,2,6.0,5500000.0,0,13.0,0,7,0,1.9459101490553132,15.28609246171445
2,1,6.25,3500000.0,0,13.0,0,7,0,1.9810014688665833,14.871275810783608
2,3,3.0,4500000.0,0,13.0,0,7,0,1.3862943611198906,15.371640665662257
1,0,21.0,2500000.0,0,13.0,0,7,0,3.091042453358316,14.871275810783608
1,0,3.1,7500000.0,0,13.0,0,7,0,1.410986973710262,14.970235115388723
1,1,5.2,10000000.0,0,13.0,0,7,0,1.824549292051046,15.245256633717792
2,0,6.0,3600000.0,0,13.0,0,7,0,1.9459101490553132,14.871275810783608
1,3,8.0,5600000.0,0,13.0,0,7,0,2.1972245773362196,15.556783369999732
2,2,5.0,1080000.0,0,13.0,0,7,0,1.791759469228055,14.076963152141449
1,3,40.5,1500000.0,0,13.0,0,7,0,3.7256934272366524,14.904476029399897
2,3,16.0,4500000.0,0,13.0,0,7,0,2.833213344056216,15.025017127311099
1,0,5.625,5300000.0,0,13.0,0,7,0,1.890850371872286,15.49449325266486
1,3,25.0,3500000.0,0,13.0,0,7,0,3.258096538021482,15.001119624581587
