location_raw,facing,price_amount_npr,price_unit,road_width_feet,road_surface,land_size_aana,district
"Tikathali, Lalitpur",South-East,4600000.0,per_aana,13.0,Soil Stabilized,3.1,Lalitpur
"Bhaisepati, Lalitpur",South-East,6500000.0,per_aana,26.0,Gravelled,,Lalitpur
"Bhaisepati, Lalitpur",South,4500000.0,per_aana,22.0,Dhalan,,Lalitpur
"Bhaisepati, Lalitpur",South-West,5500000.0,per_aana,13.0,Black Topped,,Lalitpur
"Kamerotar, Bhaktapur",West,5300000.0,per_aana,20.0,Black Topped,4.1,Bhaktapur
"Kamerotar, Bhaktapur",East,5700000.0,per_aana,20.0,Black Topped,,Bhaktapur
"Shital Height, Lalitpur",East,4800000.0,per_aana,13.0,Soil Stabilized,,Lalitpur
"Bhaisepati, Lalitpur",South,5800000.0,per_aana,20.0,Dhalan,,Lalitpur
"New Baneshwor, Kathmandu",South,7000000.0,per_aana,28.0,Black Topped,3.2,Kathmandu
"Tinthana, Kathmandu",South,,,16.0,Dhalan,8.2,Kathmandu
"Gothatar, Kathmandu",North,4000000.0,per_aana,13.0,Dhalan,,Kathmandu
"Tikathali, Lalitpur",West,4500000.0,per_aana,13.0,Dhalan,,Lalitpur
"Shital Height, Lalitpur",West,5500000.0,per_aana,13.0,Dhalan,3.3,Lalitpur
"Bhaisepati, Lalitpur",South,5800000.0,per_aana,20.0,Paved,,Lalitpur
"Lubhu, Lalitpur",South-East,3200000.0,per_aana,13.0,Soil Stabilized,,Lalitpur
"Chasidol, Lalitpur",East,3500000.0,per_aana,13.0,Soil Stabilized,3.1,Lalitpur
"Kamerotar, Bhaktapur",South,5600000.0,per_aana,20.0,Paved,4.3,Bhaktapur
"Kamerotar, Bhaktapur",East,5200000.0,per_aana,20.0,Paved,,Bhaktapur
"Chapali, Kathmandu",South,5000000.0,per_aana,13.0,Black Topped,,Kathmandu
"Radhe Radhe, Bhaktapur",East,5800000.0,per_aana,13.0,Soil Stabilized,3.1,Bhaktapur
"Narayanthan , Kathmandu",West,5500000.0,per_aana,14.0,Black Topped,,Kathmandu
"Shital Height, Lalitpur",North-West,4500000.0,per_aana,13.0,Paved,4.2,Lalitpur
"Bhaisepati, Lalitpur",North,5800000.0,per_aana,20.0,Black Topped,5.2,Lalitpur
"Lubhu, Lalitpur",North-East,3400000.0,per_aana,13.0,Soil Stabilized,3.1,Lalitpur
"Bhaisepati, Lalitpur",North-West,5100000.0,per_aana,20.0,Soil Stabilized,,Lalitpur
"Bhaisepati, Lalitpur",East,5500000.0,per_aana,13.0,Soil Stabilized,,Lalitpur
"Dhobighat, Lalitpur",East,7500000.0,per_aana,,,,Lalitpur
"Lubhu, Lalitpur",South,3600000.0,per_aana,13.0,Soil Stabilized,3.1,Lalitpur
"Chabahil, Kathmandu",South,5100000.0,per_aana,20.0,Black Topped,,Kathmandu
"Thankot, Kathmandu",East,2500000.0,per_aana,13.0,Black Topped,,Kathmandu
"Raniban, Kathmandu",North,5500000.0,per_aana,,,,Kathmandu
"Tokha Chandeshwori, Kathmandu",South,3000000.0,per_aana,14.0,Gravelled,28.2,Kathmandu
"Chapagaun, Lalitpur",North-East,1800000.0,per_aana,20.0,Black Topped,4.2,Lalitpur
"Lamatar, Lalitpur",North-East,2500000.0,per_aana,20.0,Gravelled,,Lalitpur
"Bode, Bhaktapur",North-West,3700000.0,per_aana,25.0,Black Topped,,Bhaktapur
"Dahachowk, Kathmandu",South-West,2350000.0,per_aana,15.0,Black Topped,,Kathmandu
"Bansbari, Kathmandu",West,5500000.0,per_aana,20.0,Black Topped,5.1,Kathmandu
", Lalitpur",South-East,1600000.0,per_aana,20.0,Paved,,Lalitpur
"Bhanimandal, Lalitpur",North,,,,,,Lalitpur
"Satungal, Kathmandu",South-East,3800000.0,per_aana,20.0,Dhalan,4.1,Kathmandu
"Golfutar, Kathmandu",South,8000000.0,per_aana,22.0,Black Topped,15.2,Kathmandu
"Kaushaltar, Bhaktapur",North,4500000.0,per_aana,13.0,Black Topped,,Bhaktapur
"Machhe Gaun, Kathmandu",North-West,2400000.0,per_aana,13.0,Soil Stabilized,10.2,Kathmandu
"Rarahill, Kathmandu",North-East,3400000.0,per_aana,13.0,Soil Stabilized,4.2,Kathmandu
"Rarahill, Kathmandu",North-East,3400000.0,per_aana,13.0,Soil Stabilized,5.2,Kathmandu
"Jhulpokhari, Kathmandu",East,2300000.0,per_aana,13.0,Soil Stabilized,8.2,Kathmandu
"Greenland Chowk, Kathmandu",West,4700000.0,per_aana,13.0,Black Topped,,Kathmandu
"Sukedhara, Kathmandu",East,6800000.0,per_aana,24.0,Black Topped,,Kathmandu
"Taukhel, Lalitpur",East,2500000.0,per_aana,,,4.1,Lalitpur
"Lokanthali, Bhaktapur",East,6500000.0,per_aana,26.0,Soil Stabilized,5.2,Bhaktapur
"Bhaisepati, Lalitpur",South-East,5200000.0,per_aana,,,,Lalitpur
"Dahachowk, Kathmandu",South-East,3500000.0,per_aana,13.0,Soil Stabilized,,Kathmandu
"Dahachowk, Kathmandu",South-East,2500000.0,per_aana,13.0,Soil Stabilized,,Kathmandu
"Chapagaun, Lalitpur",West,1000000.0,per_aana,20.0,Soil Stabilized,,Lalitpur
"Thaiba, Lalitpur",South,2800000.0,per_aana,10.0,Soil Stabilized,,Lalitpur
"Lokanthali, Bhaktapur",South,6500000.0,per_aana,20.0,Soil Stabilized,,Bhaktapur
"Lakhan Chowk, Rupandehi",East,,,25.0,Black Topped,0.12,Unknown
"Pepsicola, Kathmandu",East,5800000.0,per_aana,13.0,Paved,4.2,Kathmandu
"Balkot, Bhaktapur",North,6500000.0,per_aana,26.0,Paved,,Bhaktapur
"Machhe Gaun, Kathmandu",South-East,1850000.0,per_aana,18.0,Dhalan,5.2,Kathmandu
"Dhapakhel, Lalitpur",North-East,2200000.0,per_aana,18.0,Gravelled,,Lalitpur
"Sudal, Bhaktapur",South-East,2100000.0,per_aana,20.0,Black Topped,4.1,Bhaktapur
"Sipadol, Bhaktapur",North-East,3400000.0,per_aana,13.0,Gravelled,,Bhaktapur
"Sanothimi, Bhaktapur",West,4200000.0,per_aana,20.0,Soil Stabilized,3.3,Bhaktapur
"Dhapasi, Kathmandu",South-East,4500000.0,per_aana,13.0,Gravelled,5.2,Kathmandu
"Dadhikot, Bhaktapur",North,2800000.0,per_aana,20.0,Paved,,Bhaktapur
"Syuchatar, Kathmandu",South-West,3500000.0,per_aana,13.0,Dhalan,,Kathmandu
"Sirutar, Bhaktapur",South,3500000.0,per_aana,13.0,Soil Stabilized,,Bhaktapur
"Bhaisepati, Lalitpur",South,4700000.0,per_aana,13.0,Soil Stabilized,6.3,Lalitpur
"Namgel, Kathmandu",South,9500000.0,total,13.0,Black Topped,3.2,Kathmandu
"Sirutar, Bhaktapur",East,3700000.0,per_aana,13.0,Soil Stabilized,4.2,Bhaktapur
"Bhaisepati, Lalitpur",West,6500000.0,per_aana,13.0,Black Topped,,Lalitpur
"Kalanki, Kathmandu",East,10500000.0,per_aana,10.0,Black Topped,,Kathmandu
"Jhulpokhari, Kathmandu",South,2800000.0,per_aana,13.0,Soil Stabilized,,Kathmandu
"Balkot, Bhaktapur",North-East,4900000.0,per_aana,13.0,Paved,4.2,Bhaktapur
"Tikathali, Lalitpur",South,4000000.0,per_aana,13.0,Paved,5.1,Lalitpur
"Gatthaghar, Bhaktapur",East,4500000.0,per_aana,13.0,Paved,3.2,Bhaktapur
"Lokanthali, Bhaktapur",South-West,5500000.0,per_aana,13.0,Paved,,Bhaktapur
"Imadol, Lalitpur",North-East,7500000.0,per_aana,24.0,Dhalan,,Lalitpur
"Jhulpokhari, Kathmandu",East,2400000.0,per_aana,13.0,Soil Stabilized,4.2,Kathmandu
"Gatthaghar, Bhaktapur",East,5000000.0,per_aana,20.0,Soil Stabilized,3.2,Bhaktapur
"Dadhikot, Bhaktapur",East,2200000.0,per_aana,13.0,Soil Stabilized,,Bhaktapur
"Kamerotar, Bhaktapur",South,5200000.0,per_aana,20.0,Soil Stabilized,4.3,Bhaktapur
"Sirutar, Bhaktapur",East,2700000.0,per_aana,13.0,Soil Stabilized,,Bhaktapur
"Lokanthali, Bhaktapur",North-West,6600000.0,per_aana,13.0,Soil Stabilized,,Bhaktapur
"Mulpani, Kathmandu",North,2200000.0,per_aana,13.0,Soil Stabilized,,Kathmandu
"Balkot, Bhaktapur",East,3800000.0,per_aana,13.0,Soil Stabilized,6.1,Bhaktapur
"Jhaukhel, Bhaktapur",West,2600000.0,per_aana,13.0,Gravelled,,Bhaktapur
"Thali, Kathmandu",South-East,2900000.0,per_aana,,,3.3,Kathmandu
"Bhaisepati, Lalitpur",South-East,6500000.0,per_aana,20.0,Paved,6.2,Lalitpur
"Tathali, Bhaktapur",South,2200000.0,per_aana,10.0,Black Topped,,Bhaktapur
"Chandol, Kathmandu",East,7000000.0,per_aana,13.0,Black Topped,5.2,Kathmandu
"Ramkot, Kathmandu",South,3000000.0,per_aana,20.0,Black Topped,4.3,Kathmandu
"Balkot, Bhaktapur",East,4100000.0,per_aana,16.0,Paved,3.1,Bhaktapur
"Bhaisepati, Lalitpur",South,5800000.0,per_aana,20.0,Paved,,Lalitpur
"Balkot, Bhaktapur",West,4000000.0,per_aana,13.0,Paved,,Bhaktapur
"Suryabinayak, Bhaktapur",South-East,4200000.0,per_aana,18.0,Black Topped,4.1,Bhaktapur
"Chamati, Kathmandu",South,7300000.0,per_aana,26.0,Black Topped,4.3,Kathmandu
"Lokanthali, Bhaktapur",South,4000000.0,per_aana,11.0,Soil Stabilized,5.2,Bhaktapur
"Narayantar, Kathmandu",North-East,4700000.0,per_aana,13.0,Paved,5.1,Kathmandu
"Bode, Bhaktapur",West,2200000.0,per_aana,20.0,Paved,,Bhaktapur
"Pepsicola, Kathmandu",North,5500000.0,per_aana,13.0,Soil Stabilized,4.2,Kathmandu
"Bhaisepati, Lalitpur",South,3800000.0,per_aana,13.0,Soil Stabilized,7.3,Lalitpur
"Lokanthali, Bhaktapur",North-East,4600000.0,per_aana,20.0,Soil Stabilized,3.2,Bhaktapur
