category,location_raw,district,neighborhood,road_type,land_size_aana,price_per_aana,calculated_total_price,is_price_suspect,is_price_outlier,is_rate_outlier,is_large_plot,road_width_feet,is_wide_road,facing,source,price_segment
land,"Tarkeshwor Nagarpalika, Tarakeshwor-11, Kathmandu",Kathmandu,Tarakeshwor,High Access,3.1,7500000.0,23250000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,3. High-End
land,"Tokha, Uttar Dhoka Road, Kathmandu-1, Kathmandu",Kathmandu,Tokha,Low Access,5.2,10000000.0,52000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,3. High-End
land,"EMMANUEL MOBILE CENTER, Khokana Marg Paschim, Khokana, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Budget_Zone,High Access,6.0,3600000.0,21600000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Bansbari Kathamandu, Kathmandu-3, Kathmandu",Kathmandu,Bansbari,Unknown,8.0,5600000.0,44800000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Tikhidewal, Lalitpur-14, Lalitpur, Bagmati Pradesh",Lalitpur,Outskirt_Zone,Mid Access,5.0,1080000.0,5400000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,1. Budget
land,"Kirtipur Cafeteria, Kirtipur-10, Kathmandu",Kathmandu,Kirtipur,Unknown,40.5,1500000.0,60750000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,1. Budget
land,"Sunakothi, Lalitpur-25, Lalitpur",Lalitpur,Sunakothi,Unknown,16.0,4500000.0,72000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Bhaisepati, Kirtipur-6, Kathmandu",Kathmandu,Bhaisepati,High Access,5.625,5300000.0,29812500.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Thankot, Chandragiri-4, Kathmandu",Kathmandu,Thankot,Unknown,25.0,3500000.0,87500000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Bhaisepati, Lalitpur, Lalitpur-18, Lalitpur",Lalitpur,Bhaisepati,High Access,5.5,5800000.0,31900000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Maharajgunj Kathmandu Nepal, Kathmandu-3, Kathmandu",Kathmandu,Maharajgunj,High Access,5.0,8800000.0,44000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,3. High-End
land,"Kirtipur, Kathmandu-16, Kathmandu",Kathmandu,Kirtipur,Unknown,6.75,2400000.0,16200000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,1. Budget
land,"चाहबिल तरकारी बजार, Kathmandu-7, Kathmandu",Kathmandu,High_Zone,High Access,7.0,6600000.0,46200000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,3. High-End
land,"Setipakha, Mahalaxmi-4, Lalitpur",Lalitpur,Setipakha,High Access,5.56,3800000.0,21128000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Bhote Bahal, Kathmandu-11, Kathmandu",Kathmandu,High_Zone,High Access,14.0,9200000.0,128800000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,3. High-End
land,"Kathmandu-3, Kathmandu, Bagmati Pradesh",Kathmandu,High_Zone,Mid Access,3.0,5500000.0,16500000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"F105, Chandragiri, Chandragiri Municipality, Kathmandu",Kathmandu,Chandragiri,Mid Access,3.0,3200000.0,9600000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Sipadol Planning, Suryabinayak-8, Bhaktapur",Bhaktapur,Outskirt_Zone,High Access,9.5,1850000.0,17575000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,1. Budget
land,"New Naikap Health Post, Chandragiri-14, Kathmandu",Kathmandu,Mid_Zone,Unknown,6.0,4500000.0,27000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Bishalnagar, Handigaun Marg, Kathmandu-5, Kathmandu, Bagmati Pradesh",Kathmandu,High_Zone,Low Access,6.0,7500000.0,45000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,3. High-End
land,"Dig Futsal, Chandragiri-12, Kathmandu",Kathmandu,Budget_Zone,Unknown,3.25,3300000.0,10725000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Golphutar, गोल्फुटार आवासीय सडक, Budhanilakantha-8, Kathmandu, Bagmati Pradesh",Kathmandu,Golphutar,Unknown,4.0,6500000.0,26000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"बूढानीलकण्ठ, बूढानीलकण्ठ नगरपालिका, काठमाडौं जिल्ला",Kathmandu,बूढानीलकण्ठ,Mid Access,3.0,3500000.0,10500000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Samudaik Marg, बूढानीलकण्ठ, बूढानीलकण्ठ नगरपालिका, काठमाडौं जिल्ला",Kathmandu,बूढानीलकण्ठ,Mid Access,8.0,5600000.0,44800000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Gajurel Hill गजुरेल डाँडा, Kageshwori Manahora-6, Kathmandu",Kathmandu,Mid_Zone,High Access,4.0,4500000.0,18000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Nakhipot, Lalitpur-14, Lalitpur",Lalitpur,Nakhipot,High Access,4.0,12000000.0,48000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,4. Ultra-Luxury
