url,source,category,district,property_id,title,total_price_raw,property_type,property_face,year_built,road_type,negotiable,furnishing,city_area,pricing_raw,purpose,property_area,built_up_area,road_access,dimension,date_posted,views,municipality,ward_no,ring_road,landmark,hospital,airport,pharmacy,bhatbhateni,school,college,gym,public_transport,police_station,pashupatinath,boudhanath,atm,hotel,restaurant,banquet,ward_office,neighborhood,bedrooms,kitchens,bathrooms,living_rooms,parking,total_floors
https://lalpurjanepal.com.np/properties/house-for-sale-at-ochu-height-7813,lalpurja,house,Lalitpur,7813,Property Details,3 Crore 75 Lakh,Residential,North-West,2025,Gravelled,Yes,Full Furnished,"Lalitpur, Imadol",3 Crore 75 Lakh,Sale,4.5 Aana,,15 Feet,,2025 August 1,168,Mahalaxmi,03,4.7 km,Imadol | Tempo Park,2.1km,,1km,900m,220m,,,500m,,,,,300m,300m,,,Imadol,6,3,3,3,1,3.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-imadol-7770,lalpurja,house,Lalitpur,7770,Property Details,2 Crore 10 Lakh,Residential,South-East,2070,Paved,Yes,Semi Furnished,"Lalitpur, Imadol",2 Crore 10 Lakh,Sale,3 Aana,941.18 square-feet,10 Feet,,2025 July 28,331,Mahalaxmi,04,3.5km,Imadol | Ratamakai Gate,200m,4km,100m,200m,100m,100m,100m,100m,200m,9km,12km,100m,100m,50m,100m,300m,Imadol,4,2,4,1,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-imadol-7766,lalpurja,house,Lalitpur,7766,Property Details,3 Crore 15 Lakh,Residential,North-East,2024,Paved,Yes,Full Furnished,"Lalitpur, Imadol",3 Crore 15 Lakh,Sale,3 Aana,855.62 square-feet,13 Feet,,2025 July 28,222,Mahalaxmi,04,4km,Imadol | Sital Height,300m,4km,100m,200m,100m,100m,100m,100m,200m,9km,12km,100m,100m,100m,200m,400m,Imadol,5,2,4,1,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-tikathali-7765,lalpurja,house,Lalitpur,7765,Property Details,2 Crore 15 Lakh,Residential,North,2024,Paved,Yes,Semi Furnished,"Lalitpur, Tikathali",2 Crore 15 Lakh,Sale,3.5 Aana,2300 square-feet,10 Feet,,2025 July 28,259,Mahalaxmi,05,4km,Tikathali | Bhandari Gaun,200m,4km,100m,150m,100m,200m,100m,100m,200m,9km,12km,100m,100m,100m,200m,500m,Tikathali,5,2,3,3,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-imadol-7763,lalpurja,house,Lalitpur,7763,Property Details,2 Crore 35 Lakh,Residential,East,2025,Paved,Yes,Semi Furnished,"Lalitpur, Imadol",2 Crore 35 Lakh,Sale,3 Aana,2056 aana,13 Feet,,2025 July 28,325,Mahalaxmi,04,4km,Imadol | Police Station,200m,4km,100m,300m,100m,100m,100m,80m,80m,9km,12km,100m,100m,100m,200m,200m,Imadol,6,2,4,1,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-tikathali-7762,lalpurja,house,Lalitpur,7762,Property Details,2 Crore 25 Lakh,Residential,South,2024,Paved,Yes,Semi Furnished,"Lalitpur, Tikathali",2 Crore 25 Lakh,Sale,2.75 Aana,2120 square-feet,13 Feet,,2025 July 28,144,mahalaxmi,05,4km,Tikathali | Bhandari Gaun,300m,4km,100m,150m,200m,200m,100m,100m,200m,9km,12km,100m,100m,100m,200m,500m,Tikathali,5,2,3,2,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-tikathali-7759,lalpurja,house,Lalitpur,7759,Property Details,3 Crore 45 Lakh,Residential,North-East,2024,Paved,Yes,Full Furnished,"Lalitpur, Tikathali",3 Crore 45 Lakh,Sale,3.25 Aana,2400 square-feet,13 Feet,,2025 July 28,146,Mahalaxmi,05,4km,Tikathali | Bhatbhateni,300m,4km,100m,100m,200m,200m,100m,50m,200m,9km,12km,100m,100m,100m,200m,500m,Tikathali,6,2,5,2,1,2.5
https://lalpurjanepal.com.np/properties/house-onsale-at-bhasepati-radio-nepal-7746,lalpurja,house,Lalitpur,7746,Property Details,10 Crore 45 Lakh,Residential,East,2072,Blacktopped,Yes,,"Lalitpur, Bhaisepati",10 Crore 45 Lakh,Sale,13 Aana,4449.25 square-feet,20 Feet,F 78 | F 80 Feet,2025 July 28,336,Lalitpur,06,,Bhaisepati | Radio Nepal,600m,5km,20m,500m,200m,150m,50m,10m,50m,,,,,,,,Bhaisepati,4,1,4,1,3,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-sanagaun-imadol-7712,lalpurja,house,Lalitpur,7712,Property Details,2 Crore 55 Lakh,Residential,South,2074,Paved,Yes,,"Lalitpur, Imadol",2 Crore 55 Lakh,Sale,3.5 Aana,855.62 square-feet,13 Feet,F 34 Feet,2025 July 25,146,Mahalaxmi,06,3km,Sanagaun | Buddha Pokhari,300m,10km,100m,400m,100m,400m,200m,30m,300m,14km,18km,200m,100m,250m,400m,200m,Imadol,10,2,3,2,2,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-imadol-sanagaun-7709,lalpurja,house,Lalitpur,7709,Property Details,2 Crore 35 Lakh,Residential,North-West,2078,Paved,Yes,,"Lalitpur, Imadol",2 Crore 35 Lakh,Sale,3 Aana,855.62 square-feet,13 Feet,F 30 Feet,2025 July 25,352,Mahalaxmi,06,3km,Sangaun | Buddha Pokhari,400m,12km,300m,300m,400m,400m,300m,40m,600m,16km,20km,200m,250m,300m,400m,500m,Imadol,4,2,3,2,1,2.5
