district,property_type,property_face,road_type,furnishing,municipality,ward_no,neighborhood,total_price,land_size_aana,built_up_sqft,house_age,road_width_feet,hospital_m,airport_m,pharmacy_m,bhatbhateni_m,school_m,college_m,public_transport_m,police_station_m,boudhanath_m,ring_road_m,is_corner_plot,neighborhood_encoded,municipality_encoded,log_land,log_built,floor_area_ratio,urban_centrality,amenity_access_score,house_size_score,comm_road_premium,neighborhood_x_district,municipality_x_ward,age_condition_score,ring_road_proximity
1,1,0,0,2,Kathmandu,32.0,Koteshwor,35500000.0,4.0,1026.75,2.0,13.0,100.0,1000.0,100.0,50.0,50.0,50.0,100.0,100.0,3000.0,100.0,0,17.51117078272244,17.620749917248713,1.6094379124341003,6.935127225777988,0.75,0.08677636422649651,0.9043719741506373,11.161656684721018,13.0,17.51117078272244,563.8639973519588,1.0,0.21667906533553166
1,1,7,0,0,Budhanilkantha,8.0,Golfutar,75000000.0,8.0,2744.5,7.0,20.0,940.0,6600.0,252.8,3160.0,620.0,941.0,400.0,410.0,5800.0,2400.0,0,17.813908655551227,17.57755518264029,2.1972245773362196,7.917718486718927,1.0023739956172388,0.06031866218494008,0.6489919649383313,17.397005655448165,20.0,17.813908655551227,140.6204414611223,0.125,0.12847458559243768
1,2,1,1,0,Gokarneshwor,9.0,Gokarneshwor,42000000.0,4.5,1540.13,9.0,13.0,1700.0,2100.0,200.0,1500.0,500.0,2000.0,300.0,1000.0,1000.0,2000.0,0,17.123238757930928,17.218882479495953,1.7047480922384253,7.3402711925666155,1.000003246489733,0.06556701586197537,0.6590683483807721,12.513313312040609,26.0,17.123238757930928,154.96994231546358,0.1,0.13155467320159442
1,1,5,0,0,Budhanilkantha,2.0,Budhanilkantha,150000000.0,12.0,2738.0,1.0,14.0,800.0,8000.0,200.0,4000.0,500.0,500.0,800.0,800.0,7000.0,3000.0,1,17.65948418097955,17.57755518264029,2.5649493574615367,7.915348169263078,0.6666666666666666,0.0588442195298682,0.6485598774396548,20.302467200835682,14.0,17.65948418097955,35.15511036528058,0.5,0.12489538691450888
1,1,0,0,0,Nagarjun,1.0,Raniban,40000000.0,3.75,1026.75,4.0,18.0,3000.0,8000.0,500.0,3000.0,500.0,1000.0,100.0,1000.0,8000.0,2000.0,0,17.48637464870386,17.31717635288628,1.55814461804655,6.935127225777988,0.8,0.060281911442519945,0.6632934042761274,10.805931162314073,18.0,17.48637464870386,17.31717635288628,0.2,0.13155467320159442
1,1,4,0,0,Budhanilkantha,4.0,Budhanilkantha,32500000.0,5.0,1197.87,3.0,20.0,760.0,9700.0,361.0,1540.0,340.0,470.0,426.0,357.0,8300.0,950.0,0,17.65948418097955,17.57755518264029,1.791759469228055,7.089134725462836,0.6999970781592403,0.06235386469817757,0.6570314754455902,12.702024272981465,20.0,17.65948418097955,70.31022073056116,0.25,0.14582543920133317
1,0,0,0,0,Kathmandu,10.0,Baneshwor,139900000.0,7.0,1540.125,26.0,50.0,100.0,2000.0,100.0,300.0,100.0,100.0,50.0,100.0,3000.0,200.0,0,17.59565971806131,17.620749917248713,2.0794415416798357,7.340267948188717,0.6428571428571429,0.07749110314533612,0.9043719741506372,15.26365809852463,0.0,17.59565971806131,176.20749917248713,0.037037037037037035,0.18856166434639035
1,0,7,0,2,Kathmandu,7.0,Chabahil,73000000.0,9.75,1369.0,15.0,36.0,500.0,5000.0,220.0,500.0,500.0,500.0,500.0,500.0,1000.0,1000.0,0,17.79165976437607,17.620749917248713,2.3749057545736716,7.222566018822171,0.41025641025641024,0.06482499734824665,0.6678266421618425,17.152913600889026,0.0,17.79165976437607,123.34524942074098,0.1875,0.1447438839476537
1,1,7,1,0,Budhanilkantha,7.0,Budhanilkantha,49000000.0,5.0,1369.0,1.0,16.0,1000.0,7000.0,200.0,50.0,200.0,200.0,200.0,200.0,6500.0,2500.0,0,17.65948418097955,17.57755518264029,1.791759469228055,7.222566018822171,0.8,0.0599583138413225,0.7104288769868247,12.9411010563494,16.0,17.65948418097955,123.04288627848203,0.5,0.12780457668621606
1,1,1,0,2,Kathmandu,6.0,Chabahil,24000000.0,3.0,855.625,16.0,12.0,1000.0,3000.0,90.0,1400.0,100.0,250.0,100.0,324.0,2000.0,530.0,0,17.79165976437607,17.620749917248713,1.3862943611198906,6.753000249905988,0.8333333333333334,0.07002083815467762,0.799789255942748,9.361646167085883,12.0,17.79165976437607,105.72449950349227,0.1764705882352941,0.15936859383904953
1,2,5,0,2,Kathmandu,4.0,Dhumbarahi,49000000.0,5.25,1540.125,14.0,18.0,1000.0,4000.0,90.0,1400.0,100.0,300.0,100.0,304.3,3000.0,830.0,1,17.544796190561573,17.620749917248713,1.8325814637483102,7.340267948188717,0.8571428571428571,0.06659150969656731,0.799789255942748,13.451638980796485,36.0,17.544796190561573,70.48299966899485,0.2,0.14875131169133526
1,1,7,0,2,Kathmandu,4.0,Chandol,28000000.0,2.75,684.5,12.0,10.0,1000.0,5000.0,110.0,1600.0,100.0,540.0,100.0,284.0,4000.0,2530.0,0,17.711126801139535,17.620749917248713,1.3217558399823195,6.530148499002369,0.7272727272727273,0.061148006373839714,0.7904374190548846,8.631261914508158,10.0,17.711126801139535,70.48299966899485,0.23076923076923078,0.1276101090883742
1,1,4,0,2,Kathmandu,5.0,Kalopul,43000000.0,4.0,1197.875,17.0,10.0,500.0,3000.0,150.0,1440.0,100.0,310.0,100.0,320.0,4400.0,1134.0,0,17.876029166698835,17.620749917248713,1.6094379124341003,7.089138896048115,0.875,0.06648454875410707,0.79352879372661,11.40952890581106,10.0,17.876029166698835,88.10374958624357,0.16666666666666666,0.14215877912380245
1,1,1,0,2,Kathmandu,10.0,Kapan,19500000.0,3.5,1026.75,16.0,12.0,300.0,5700.0,220.0,560.3,500.0,270.0,300.0,320.0,2700.0,1714.0,0,17.289342158205557,17.620749917248713,1.5040773967762742,6.935127225777988,0.8571428571428571,0.062128914722678834,0.696547738990849,10.43096810406042,12.0,17.289342158205557,176.20749917248713,0.1764705882352941,0.1342792255677843
1,1,2,0,2,Kathmandu,11.0,Teku,40000000.0,4.75,1197.875,32.0,14.0,100.0,5000.0,110.0,1300.3,100.0,260.0,100.0,230.0,7000.0,1314.0,1,17.536289180454492,17.620749917248713,1.749199854809259,7.089138896048115,0.7368421052631579,0.06369838512547323,0.8623726004427625,12.400320727690033,14.0,17.536289180454492,193.82824908973583,0.09090909090909091,0.1392448927358328
1,1,3,0,2,Kathmandu,4.0,Dhumbarahi,19000000.0,2.5,684.5,22.0,9.0,500.0,4200.0,110.0,1440.0,100.0,270.0,100.0,540.0,3000.0,1050.0,1,17.544796190561573,17.620749917248713,1.252762968495368,6.530148499002369,0.8,0.06535701986236288,0.8065530111202743,8.180728218325779,9.0,17.544796190561573,70.48299966899485,0.13043478260869565,0.1437298423116696
