category,neighborhood,district,location_raw,price_per_aana,land_size_aana,calculated_total_price,road_width_feet,road_type,facing,is_wide_road,is_price_suspect,is_large_plot,is_rate_outlier,is_price_outlier
land,Lazimpat,Kathmandu,"Lazimpat, Kathmandu",10000000.0,6.2,62000000.0,16.0,Pitched,North,False,False,False,False,False
land,Bishalnagar,Kathmandu,"Bishalnagar, Kathmandu",11500000.0,,,13.0,Pitched,East,False,False,False,False,False
land,Naya Bazar,Kathmandu,"Naya Bazar, Kathmandu",12500000.0,7.2,90000000.0,20.0,Pitched,North,False,False,False,False,False
land,Samakhusi,Kathmandu,"Samakhusi, Kathmandu",5200000.0,9.2,47840000.0,13.0,Pitched,South,False,False,False,False,False
land,Kirtipur,Kathmandu,"Kirtipur, Kathmandu",2300000.0,,,13.0,Pitched,East,False,False,False,False,False
land,Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",3200000.0,,,13.0,Paved,North-East,False,False,False,False,False
land,Gongabu,Kathmandu,"Gongabu, Kathmandu",,,,10.0,Pitched,South,False,False,False,False,False
land,Lazimpat,Kathmandu,"Lazimpat, Kathmandu",8000000.0,,,13.0,Pitched,South-East,False,False,False,False,False
land,Sanobharyang,Kathmandu,"Sanobharyang, Kathmandu",5200000.0,,,15.0,Pitched,South,False,False,False,False,False
land,Mahalaxmisthan,Lalitpur,"Mahalaxmisthan, Lalitpur",8663366.336633664,10.1,87500000.0,20.0,Pitched,South-East,False,False,False,False,False
land,Dhobighat,Lalitpur,"Dhobighat, Lalitpur",8000000.0,,,16.0,Pitched,West,False,False,False,False,False
land,Godawari,Lalitpur,"Godawari, Lalitpur",2500000.0,4.1,10250000.0,12.0,Gravel,West,False,False,False,False,False
land,Dhapakhel,Lalitpur,"Dhapakhel, Lalitpur",6200000.0,11.5,71300000.0,13.0,Pitched,South,False,False,False,False,False
land,Dhapakhel,Lalitpur,"Dhapakhel, Lalitpur",,,85000000.0,16.0,Pitched,North-West,False,False,False,False,False
land,Bhanimandal,Lalitpur,"Bhanimandal, Lalitpur",10500000.0,,,10.0,Pitched,West,False,False,False,False,False
land,Kupandole,Lalitpur,"Kupandole, Lalitpur",8500000.0,,,20.0,Pitched,North-East,False,False,False,False,False
land,Dhapakhel,Lalitpur,"Dhapakhel, Lalitpur",5300000.0,,,16.0,Pitched,North-East,False,False,False,False,False
land,Dhapakhel,Lalitpur,"Dhapakhel, Lalitpur",5500000.0,,,13.0,Pitched,South-West,False,False,False,False,False
land,Nakhipot,Lalitpur,"Nakhipot, Lalitpur",3800000.0,,,12.0,Gravel,South-West,False,False,False,False,False
land,Nakhipot,Lalitpur,"Nakhipot, Lalitpur",3800000.0,,,20.0,Pitched,East,False,False,False,False,False
land,Godawari,Lalitpur,"Godawari, Lalitpur",2600000.0,,,16.0,Gravel,North-West,False,False,False,False,False
land,Godawari,Lalitpur,"Godawari, Lalitpur",1800000.0,,,13.0,Gravel,West,False,False,False,False,False
land,Jharuwarasi,Lalitpur,"Jharuwarasi, Lalitpur",2600000.0,,,10.0,Gravel,East,False,False,False,False,False
land,Godawari,Lalitpur,"Godawari, Lalitpur",1850000.0,4.3,7955000.0,13.0,Gravel,South,False,False,False,False,False
land,Hattiban,Lalitpur,"Hattiban, Lalitpur",5600000.0,,,16.0,Paved,East,False,False,False,False,False
land,Dhobighat,Lalitpur,"Dhobighat, Lalitpur",8500000.0,,,24.0,Pitched,East,False,False,False,False,False
land,Soltimode,Kathmandu,"Soltimode, Kathmandu",9500000.0,,,14.0,Paved,South,False,False,False,False,False
land,Kuleshwor,Kathmandu,"Kuleshwor, Kathmandu",10000000.0,,,16.0,Pitched,West,False,False,False,False,False
land,Godawari,Lalitpur,"Godawari, Lalitpur",2300000.0,,,13.0,Gravel,East,False,False,False,False,False
land,Godawari,Lalitpur,"Godawari, Lalitpur",2600000.0,,,13.0,Gravel,North-East,False,False,False,False,False
land,Mahalaxmisthan,Lalitpur,"Mahalaxmisthan, Lalitpur",8500000.0,,,18.0,Pitched,South,False,False,False,False,False
