title,location_raw,floors,price_npr,land_size_aana,buildup_area_sqft,road_width_feet,facing,built_year_bs,built_year_ad,house_age,parking_cars,parking_bikes,bedrooms,bathrooms,amenities,district
Residential house for sale at Ghattekulo,"Ghattekulo, Kathmandu",2.0,25500000.0,4.1,,6.5,North,2077.0,2020.0,5.0,,,7.0,4.0,"Marbel, Drinking Water, Bathroom, Drainage, Parking",Kathmandu
Bungalow for rent at Bishalnagar,"Bishalnagar, Kathmandu",2.5,500000.0,25.0,,17.0,South,2077.0,2020.0,5.0,,,6.0,,"Marbel, Bathroom, Drinking Water, Drainage, Parking, Garden",Kathmandu
Brand new bungalow for rent in Golfutar,"Golfutar, Kathmandu",2.5,300000.0,32.0,,15.0,,2078.0,2021.0,4.0,,,6.0,6.0,"Marbel, Parquet, Earthquake Resistant, Garden, Drainage, Bathroom, Drinking Water, Parking",Kathmandu
House for sale in land price at Maitidevi,"Maitidevi, Kathmandu",3.5,8000000.0,10.0,,14.0,East,,,,,,,,"Drinking Water, Bathroom, Drainage, Power Backup",Kathmandu
"Villa for rent in Maharajgunj, Chakrapath","Maharajgunj, Kathmandu",2.5,25000000.0,4.0,,18.0,,2064.0,2007.0,18.0,,,4.0,5.0,"Drainage, Bathroom, Drinking Water, Parking, Marbel, Garden, Parquet",Kathmandu
Commercial house on sale in Pespicola,"Pepsicola, Kathmandu",3.5,50000000.0,4.2,,36.0,East,2074.0,2017.0,8.0,,,7.0,4.0,"Power Backup, Drinking Water, Bathroom, Drainage",Kathmandu
Semi furnished house for rent in Budhanilkantha,"Budhanilkantha, Kathmandu",2.0,210000.0,,,15.0,North-East,2075.0,2018.0,7.0,,,5.0,5.0,"Garden, Drainage, Bathroom, Drinking Water, Parking, Marbel, Parquet",Kathmandu
Furnished house for rent in Jhamsikhel,"Jhamsikhel, Lalitpur",2.5,190000.0,8.0,,15.0,South,2078.0,2021.0,4.0,,,4.0,4.0,"Drainage, Bathroom, Drinking Water, Parking, Marbel, Parquet",Lalitpur
"Semi furnished house for rent in Bhatbhateni, Naxal","Naxal, Kathmandu",2.0,180000.0,4.0,,17.0,,2074.0,2017.0,8.0,,,4.0,4.0,"Drinking Water, Bathroom, Drainage, Parking, Parquet, Marbel",Kathmandu
House on sale in Pasikot Height,"Pasikot, Kathmandu",2.5,30000000.0,4.3,2400.0,20.0,South,2078.0,2021.0,4.0,,,5.0,4.0,"Drainage, Bathroom, Drinking Water, Parking, Power Backup, Marbel, Earthquake Resistant",Kathmandu
"House on sale at Goldhunga, Kathmandu","Goldhunga, Kathmandu",3.5,29900000.000000004,4.5,,10.0,West,2074.0,2017.0,8.0,,,8.0,4.0,"Drainage, Bathroom, Drinking Water, Power Backup",Kathmandu
House for sale in land price at Old Baneshwor,"Baneshwor, Kathmandu",2.5,7000000.0,8.2,,20.0,North,2080.0,2023.0,2.0,,,6.0,3.0,"Power Backup, Drinking Water, Bathroom, Drainage",Kathmandu
"Commercial house for sale in Ranibari, Samakhusi","Samakhushi chowk, Kathmandu",3.5,45000000.0,5.0,,22.0,South-East,2078.0,2021.0,4.0,,,,5.0,"Drinking Water, Bathroom, Drainage, Power Backup",Kathmandu
"Beautiful house on sale in Kaushaltar, Bhaktpur","Kaushaltar, Bhaktapur",2.5,10000000.0,18.0,,13.0,South,2078.0,2021.0,4.0,,,5.0,7.0,"Power Backup, Drinking Water, Drainage, Bathroom, Parking",Bhaktapur
