category,ad_id,title,location_raw,district,neighborhood,road_type,raw_price,land_size_aana,price_per_aana,calculated_total_price,is_price_suspect,is_price_outlier,is_rate_outlier,is_large_plot
land,HB-09528F,"Land on Sale at Bhangal Sundarbasti, GJBLOS 3636","Sundarbasti Bhangal Budhanilkantha Ktm, Budhanilakantha-8, Kathmandu",Kathmandu,Budhanilkantha,Pitched Road,4500000.0,10.25,4500000.0,46125000.0,False,False,False,False
land,HB-640CED,Thasikhel Ma Tukra Jagga Bikrima,"AVM High School, Thasikhel Siddibinayak Marga, Kumaripati, Kusunti, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Kumaripati,Above 20 Ft,8500000.0,25.0,8500000.0,212500000.0,False,False,False,False
land,HB-2EFA94,Thasikhel Ma 1 Ropani Jagga Bikrima,"AVM High School, Thasikhel Siddibinayak Marga, Kumaripati, Kusunti, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Kumaripati,13-20 Ft,5800000.0,16.0,5800000.0,92800000.0,False,False,False,False
land,HB-EF60F0,Dholahiti Ma Jagga Haru Bikrima,"Euro Kids, कान्ति लोकपथ, Wakhat, Satitar, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Euro Kids,13-20 Ft,4100000.0,7.0,4100000.0,28700000.0,False,False,False,False
land,HB-4A9E06,CHABIL SARASWATINAGAR BIG MART SIDE 20 FT ROAD,"Shanti Nagar, सरस्वती नगर मार्ग, Kathmandu-6, Kathmandu, Bagmati Pradesh",Kathmandu,Shanti Nagar,Unknown,9000000.0,7.100073046018992,9000000.0,63900657.41417093,False,False,False,False
land,HB-4AB4FE,"Land on Sale at Ganeshchowk Bhangal, GJBLOS 3640","Ganesh Chowk, Budhanilakantha-11, Kathmandu",Kathmandu,Budhanilkantha,Gravel Road,4200000.0,4.0,4200000.0,16800000.0,False,False,False,False
land,HB-6F0709,"Land on Sale at Mathillo Bhangal, GJBLOS 3639","Bhangal, Budhanilakantha-8, Kathmandu",Kathmandu,Bhangal,Gravel Road,3500000.0,9.0,3500000.0,31500000.0,False,False,False,False
land,HB-DF9395,Land on Sale at Chhampi lalitpur code: GJBLOS 3584,"Chhampi Hp, Lalitpur-15, Lalitpur",Lalitpur,Chhampi Hp,Gravel Road,435000.0,80.0,435000.0,34800000.0,False,False,True,True
land,HB-30DACA,Sasto Ramro Jagga On Sale,"Budhanilkantha, Budhanilkantha Municipality, Kathmandu",Kathmandu,Budhanilkantha,13-20 Ft,2800000.0,5.0,2800000.0,14000000.0,False,False,False,False
land,HB-48ADD3,"Land on Sale at Gairigaun Arubari, GJBLOS 3586","Arubari Store, Gokarneshwor-9, Kathmandu",Kathmandu,Arubari Store,Pitched Road,4000000.0,2.5,4000000.0,10000000.0,False,False,False,False
land,HB-004814,"Land on Sale at Bhangal Sundarbasti, GJBLOS 3637","Sundarbasti Bhangal Budhanilkantha Ktm, Budhanilakantha-8, Kathmandu",Kathmandu,Budhanilkantha,Above 20 Ft,6000000.0,6.25,6000000.0,37500000.0,False,False,False,False
land,HB-DF008E,"4Aana Land Sale at Tikathali,41Lakh/Aana","Lalitpur 5a Side Fotsal, Lalitpur-2, Lalitpur",Lalitpur,Lalitpur 5A Side Fotsal,Unknown,4100000.0,4.0,4100000.0,16400000.0,False,False,False,False
land,HB-97C5BB,Land for sale,"Statue of Tribhuwan, Tribhuvan Rajpath, Chandragiri, Chandragiri Municipality, Kathmandu",Kathmandu,Statue Of Tribhuwan,Unknown,123456.0,3.938641344046749,123456.0,486248.9057706354,False,False,True,False
land,HB-4CA69E,"Land for Sale in Sitapaila,Buddha Tole 3.5 Aana!","Sitapaila, Nagarjun-4, Kathmandu",Kathmandu,Sitapaila,Unknown,4000000.0,3.5,4000000.0,14000000.0,False,False,False,False
land,HB-30C244,"🏞️ Land for Sale in Budanilkantha, Ward No. 6","Budhanilkantha Ward 6 Office, Khadka Bhadrakali, Budhanilakantha-6, Kathmandu",Kathmandu,Khadka Bhadrakali,Unknown,3500000.0,4.25,3500000.0,14875000.0,False,False,False,False
land,HB-BFC05E,"🌿 Land for Sale in Budanilkantha, Ward No.6","Budhanilkantha Ward 6 Office, Khadka Bhadrakali, Budhanilakantha-6, Kathmandu",Kathmandu,Khadka Bhadrakali,Unknown,4300000.0,6.0,4300000.0,25800000.0,False,False,False,False
land,HB-302BBE,"Land for Sale in Bhaisepati, Near Olgapuri Village","Olgapuri Village, Lalitpur-22, Lalitpur",Lalitpur,Olgapuri Village,Above 20 Ft,4000000.0,4.5,4000000.0,18000000.0,False,False,False,False
land,HB-1ADA42,"🌿 Land for Sale in Bhatkepati, Kirtipur!","Bhatkepati, Kirtipur-5, Kathmandu",Kathmandu,Bhatkepati,Unknown,2600000.0,4.0,2600000.0,10400000.0,False,False,False,False
land,HB-D5350D,"Land for Sale at Deuba Chowk, Budhanilkantha 8aana","Deuba Chowk Stop, Golphutar Main Sadak, Budhanilakantha-5, Kathmandu",Kathmandu,Golphutar Main Sadak,Unknown,6000000.0,8.0,6000000.0,48000000.0,False,False,False,False
