neighborhood,district,location_raw,price_per_aana,land_size_aana,calculated_total_price,road_width_feet,road_type,facing,is_wide_road,is_price_suspect,is_large_plot,is_rate_outlier,is_price_outlier
Kamerotar,Bhaktapur,"Kamerotar, Bhaktapur",5700000.0,,,20.0,Pitched,East,False,False,False,False,False
Shital Height,Lalitpur,"Shital Height, Lalitpur",4800000.0,,,13.0,Gravel,East,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",5800000.0,,,20.0,Paved,South,False,False,False,False,False
New Baneshwor,Kathmandu,"New Baneshwor, Kathmandu",7000000.0,3.2,22400000.0,28.0,Pitched,South,False,False,False,False,False
Tinthana,Kathmandu,"Tinthana, Kathmandu",,8.2,,16.0,Paved,South,False,False,False,False,False
Gothatar,Kathmandu,"Gothatar, Kathmandu",4000000.0,,,13.0,Paved,North,False,False,False,False,False
Tikathali,Lalitpur,"Tikathali, Lalitpur",4500000.0,,,13.0,Paved,West,False,False,False,False,False
Shital Height,Lalitpur,"Shital Height, Lalitpur",5500000.0,3.3,18150000.0,13.0,Paved,West,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",5800000.0,,,20.0,Paved,South,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",3200000.0,,,13.0,Gravel,South-East,False,False,False,False,False
Chasidol,Lalitpur,"Chasidol, Lalitpur",3500000.0,3.1,10850000.0,13.0,Gravel,East,False,False,False,False,False
Kamerotar,Bhaktapur,"Kamerotar, Bhaktapur",5600000.0,4.3,24080000.0,20.0,Paved,South,False,False,False,False,False
Kamerotar,Bhaktapur,"Kamerotar, Bhaktapur",5200000.0,,,20.0,Paved,East,False,False,False,False,False
Chapali,Kathmandu,"Chapali, Kathmandu",5000000.0,,,13.0,Pitched,South,False,False,False,False,False
Radhe Radhe,Bhaktapur,"Radhe Radhe, Bhaktapur",5800000.0,3.1,17980000.0,13.0,Gravel,East,False,False,False,False,False
Narayanthan,Kathmandu,"Narayanthan , Kathmandu",5500000.0,,,14.0,Pitched,West,False,False,False,False,False
Shital Height,Lalitpur,"Shital Height, Lalitpur",4500000.0,4.2,18900000.0,13.0,Paved,North-West,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",5800000.0,5.2,30160000.0,20.0,Pitched,North,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",3400000.0,3.1,10540000.0,13.0,Gravel,North-East,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",5100000.0,,,20.0,Gravel,North-West,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",5500000.0,,,13.0,Gravel,East,False,False,False,False,False
