url,source,category,district,property_id,title,total_price_raw,property_type,property_face,year_built,road_type,negotiable,furnishing,city_area,pricing_raw,purpose,property_area,built_up_area,road_access,dimension,date_posted,views,municipality,ward_no,ring_road,landmark,hospital,airport,pharmacy,bhatbhateni,school,college,gym,public_transport,police_station,pashupatinath,boudhanath,atm,hotel,restaurant,banquet,ward_office,neighborhood
https://lalpurjanepal.com.np/properties/house-for-sale-at-bhangal-8448,lalpurja,house,Kathmandu,8448,Property Details,3 Crore 45 Lakh,Residential,North-East,2082,alley,Yes,Semi Furnished,"Kathmandu, Bhangal",3 Crore 45 Lakh,Sale,4.06 Aana,,13 Feet,F 29 Feet,2025 October 9,224.0,Budhanilkantha,13,7km,Bhangal | Karuna Hospital,300m,8km,200m,,,,,100m,,7km,7.5km,,,,,,Bhangal
https://lalpurjanepal.com.np/properties/house-for-sale-at-tangal-naxal-8445,lalpurja,house,Kathmandu,8445,Property Details,5 Crore 80 Lakh,Residential,South-West,2045,Blacktopped,Yes,Unfurnished,"Kathmandu, Naxal",5 Crore 80 Lakh,Sale,7.75 Aana,1200 square-feet,21 Feet,F 50 Feet,2025 October 8,566.0,Kathmandu,05,2.5km,Naxal | Lamodhunga,Himal Hospital to 2km,5km,,1km,Rai School to 1km,Herald College Kathmandu to 1.5km,,500m,,3km,4.5km,,,,,05,Naxal
https://lalpurjanepal.com.np/properties/house-for-sale-at-tahachal-8444,lalpurja,house,Kathmandu,8444,Property Details,2 Crore 10 Lakh,Residential,East,1990,Blacktopped,Yes,Unfurnished,"Kathmandu, Tahachal",2 Crore 10 Lakh,Sale,2.75 Aana,941.18 square-feet,11 Feet,F 30 Feet,2025 October 8,434.0,Kathmandu,13,1km,Tahachal | Dol Marg,TB Hospital to 700m,10km,,3km,Sansar Shikshyalaya to 900m,BernHardt College to 4.6km,,100m,,8.6km,10km,,,,,13,Tahachal
https://lalpurjanepal.com.np/properties/hous-for-sale-at-budhanilkatha-chunikhel-8442,lalpurja,house,Kathmandu,8442,Property Details,2 Crore 95 Lakh,Residential,South-West,2079,Blacktopped,Yes,Semi Furnished,"Kathmandu, Budhanilkantha",2 Crore 95 Lakh,Sale,4 Aana,1369 square-feet,13 Feet,F 38 Feet,2025 October 7,298.0,Budhanilkantha,13,350m,Budhanilkantha | Karuna Hospital,50m,6km,5m,200m,250m,400m,200m,200m,300m,6km,5km,200m,200m,200m,350m,300m,Budhanilkantha
https://lalpurjanepal.com.np/properties/house-for-sale-at-battisputali-8426,lalpurja,house,Kathmandu,8426,Property Details,6 Crore 90 Lakh,Residential,East,2036,Blacktopped,Yes,Full Furnished,"Kathmandu, Battisputali",6 Crore 90 Lakh,Sale,4.75 Aana,1369 square-feet,19 Feet,F 40 Feet,2025 September 23,314.0,Kathmandu,09,500m,Battisputali | Ram Mandir,Swacon International Hospital - 2.5km,Tribhuwan International Airport - 3km,,3km,Mangala Devi School - 500m,Golden Gate International College - 1.5km,,500m,,2km,3km,,,,,09,Battisputali
https://lalpurjanepal.com.np/properties/house-for-sale-at-tokha-khariboat-8425,lalpurja,house,Kathmandu,8425,Property Details,5 Crore 51 Lakh,Residential,South,2074,Blacktopped,Yes,Unfurnished,"Kathmandu, Samakhusi",5 Crore 51 Lakh,Sale,5 Aana,1369 square-feet,12 Feet,F 50 Feet,2025 September 23,391.0,Kathmandu,07,500m,Samakhusi | Bigmart,500m,7km,100m,1km,50m,,,50m,500m,6km,6km,,,,,1km,Samakhusi
https://lalpurjanepal.com.np/properties/house-for-sale-at-syuchatar-8424,lalpurja,house,Kathmandu,8424,Property Details,3 Crore 50 Lakh,Residential,West,2064,Paved,Yes,Full Furnished,"Kathmandu, Syuchatar",3 Crore 50 Lakh,Sale,4.5 Aana,1026.75 square-feet,13 Feet,F 50 Feet,2025 September 23,138.0,Nagarjun,10,1.5km,Syuchatar | 4k Brother Store,Sahid Memorable Hospital - 1.5km,Tribhuwan International Airport - 13km,,3km,LRI International School - 250m,Kasthamandap College - 2km,,1.5km,,12 km,14km,,,,,10,Syuchatar
https://lalpurjanepal.com.np/properties/house-for-sale-at-tahachal-8423,lalpurja,house,Kathmandu,8423,Property Details,5 Crore,Residential,South,2063,Paved,Yes,Full Furnished,"Kathmandu, Tahachal",5 Crore,Sale,4.5 Aana,1540.12 square-feet,10 Feet,F 40 Feet,2025 September 23,168.0,Kathmandu,13,1km,Tahachal | Gaibachapati,Tahachal Medical Hall - 200m,10km,,5km,Sanskar Shikshyalaya - 300m,Kathmandu BernHardt College - 700m,,1km,,9km,10km,,,,,13,Tahachal
https://lalpurjanepal.com.np/properties/house-for-sale-at-budhanilkantha-8421,lalpurja,house,Kathmandu,8421,Property Details,10 Crore 75 Lakh,Residential,North-East,,Soil Stabilized,Yes,Full Furnished,"Kathmandu, Budhanilkantha",10 Crore 75 Lakh,Sale,9.5 Aana,,13 Feet,,2025 September 23,455.0,Budhanilkantha,01,4km,Budhanilkantha | Budhanilkantha Temple,2km,10km,200m,5km,200m,200m,200m,200m,200m,9.5km,8km,200m,200m,200m,200m,200m,Budhanilkantha
https://lalpurjanepal.com.np/properties/house-for-sale-at-bhote-bahal-8420,lalpurja,house,Kathmandu,8420,Property Details,3 Crore 50 Lakh,Commercial,North,2072,Paved,Yes,Unfurnished,"Kathmandu, New Road",3 Crore 50 Lakh,Sale,1 Aana,342.25 square-feet,12 Feet,F 30 Feet,2025 September 23,557.0,Kathmandu,22,600m,Bhotebahal | Sankata Mandir,National Trauma Center - 1km,6km,,3.5km,Himalayan Secondary School - 500m,Tebahal College - 400m,,600m,,4.5km,6.5km,,,,,22,New Road
