url,source,category,district,property_id,title,total_price_raw,property_type,property_face,year_built,road_type,negotiable,furnishing,city_area,pricing_raw,purpose,property_area,built_up_area,road_access,dimension,date_posted,views,municipality,ward_no,ring_road,landmark,hospital,airport,pharmacy,bhatbhateni,school,college,gym,public_transport,police_station,pashupatinath,boudhanath,atm,hotel,restaurant,banquet,ward_office,neighborhood,bedrooms,kitchens,bathrooms,living_rooms,parking,total_floors
https://lalpurjanepal.com.np/properties/house-for-sale-at-lokanthali-bhaktapur-3276,lalpurja,house,Bhaktapur,3276,Property Details,4 Crore 70 Lakh,Commercial,South-East,2074,Blacktopped,Yes,Unfurnished,"Bhaktapur, Lokanthali",4 Crore 70 Lakh,Sale,5.18 Aana,2400 square-feet,20 Feet,,2024 October 27,661,Madhyapur Thimi,1.0,800 m,Eye Hospital,2.5 km,4.5 km,300 m,2 km,500 m,3 km,300 m,300 m,600 m,7.1 km,8 km,300 m,500 m,400 m,500 m,1 km,Lokanthali,7,3,3,3,4,2.5
https://lalpurjanepal.com.np/properties/8-aana-house-for-sale-at-radhe-radhe-ashram-bhaktapur-3241,lalpurja,house,Bhaktapur,3241,Property Details,8 Crore,Residential,South-East,2068,Blacktopped,Yes,Unfurnished,"Bhaktapur, Radhe Radhe",8 Crore,Sale,8 Aana,2450 square-feet,14 Feet,,2024 October 24,384,Madhyapur Thimi,4.0,,Radhe Radhe Ashram,1 km,8.3 km,200 m,100 m,300 m,800 m,200 m,100 m,150 m,9.4 km,10 km,200 m,500 m,200 m,300 m,800 m,Radhe Radhe,5,1,3,1,7,2
https://lalpurjanepal.com.np/properties/3-aana-house-for-sale-at-gatthaghar-bhaktapur-3237,lalpurja,house,Bhaktapur,3237,Property Details,1 Crore 95 Lakh,Residential,South-East,2078,Gravelled,Yes,Semi Furnished,"Bhaktapur, Gatthaghar",1 Crore 95 Lakh,Sale,3 Aana,1800 square-feet,20 Feet,,2024 October 24,926,Madhyapur Thimi,3.0,,Chandreshwori Marga,4 km,6 km,300 m,3 km,300 m,500 m,300 m,150 m,1 km,8 km,12 km,300 m,500 m,300 m,500 m,300 m,Gatthaghar,5,1,3,1,3,2.5
https://lalpurjanepal.com.np/properties/5-aana-1-paisa-2-daam-house-for-sale-at-nikosera-radhe-radhe-bhaktapur-3222,lalpurja,house,Bhaktapur,3222,Property Details,3 Crore 90 Lakh,Residential,South-East,2079,Gravelled,No,Semi Furnished,"Bhaktapur, Radhe Radhe",3 Crore 90 Lakh,Sale,5.13 Aana,3902 square-feet,13 Feet,,2024 October 23,480,Madhyapur Thimi,9.0,4 km,Nikosera Planning,2 km,9.1 km,400 m,900 m,400 m,1.8 km,400 m,200 m,1 km,8.9 km,9.7 km,300 m,400 m,300 m,400 m,2 km,Radhe Radhe,7,2,7,2,10,2.5
https://lalpurjanepal.com.np/properties/35-floor-house-on-sale-at-dibyashwori-town-planning-sano-thimi-bhaktapur-3071,lalpurja,house,Bhaktapur,3071,Property Details,3 Crore 10 Lakh,Residential,West,2081,Blacktopped,No,Semi Furnished,"Bhaktapur, Sanothimi",3 Crore 10 Lakh,Sale,3.2 Aana,,20 Feet,F 26.50 Feet,2024 October 4,2345,Madyapur Thimi,2.0,3 km,Dibyashwori Town Planning,900 m,5.5 km,300 m,1.5 km,300,3 km,300 m,200 m,300 m,7 km,8.5 km,300 m,300 m,300 m,300 m,2 km,Sanothimi,8,3,6,3,4,3.5
https://lalpurjanepal.com.np/properties/north-facing-house-on-sale-at-rose-village-balkot-bhaktapur-3051,lalpurja,house,Bhaktapur,3051,Property Details,5 Crore 50 Lakh,Residential,North,2071,Blacktopped,Yes,Full Furnished,"Bhaktapur, Balkot",5 Crore 50 Lakh,Sale,5.3 Aana,2800 square-feet,20 Feet,,2024 October 3,493,Suryabinyak,2.0,,Rose Village Balkot,1 km,5.2 km,200 m,1.5 km,300 m,300 m,200 m,20 m,300 m,8.3 km,10 km,200 m,300 m,200 m,300 m,1.5 km,Balkot,4,1,6,2,4,2.5
https://lalpurjanepal.com.np/properties/bungalow-on-sale-at-rose-village-balkot-bhaktapur-2911,lalpurja,house,Bhaktapur,2911,Property Details,5 Crore 80 Lakh,Residential,North,2071,Blacktopped,No,Full Furnished,"Bhaktapur, Balkot",5 Crore 80 Lakh,Sale,6.2 Aana,,20 Feet,F 35,2024 September 22,512,Suryabinayak,2.0,4.6 km,Rose Village Housing Society,4.4 km,6.8 km,300 m,2.5 km,300 m,300 m,300 m,50 m,300 m,8.7 km,9.5 km,300 m,300 m,300 m,300 m,500 m,Balkot,5,1,5,1,4,2.5
https://lalpurjanepal.com.np/properties/west-facing-house-for-sale-at-katunje-hight-bhaktapur-2907,lalpurja,house,Bhaktapur,2907,Property Details,1 Crore 50 Lakh,Residential,West,2079,Gravelled,Yes,Unfurnished,"Bhaktapur, Suryabinayak",1 Crore 50 Lakh,Sale,3.02 Aana,725 square-feet,9 Feet,,2024 September 22,481,,,,Pandu Bazzar Katunje,300 m,10 km,300 m,2.3 km,300 m,300 m,300 m,200 m,300 m,12 km,13 km,300 m,300 m,300 m,200 m,300 m,Suryabinayak,6,1,4,2,3,3
https://lalpurjanepal.com.np/properties/west-facing-house-for-sale-at-ranabhat-balkot-bhaktapur-2843,lalpurja,house,Bhaktapur,2843,Property Details,3 Crore 20 Lakh,Residential,South-West,2080,Gravelled,Yes,Full Furnished,"Bhaktapur, Balkot",3 Crore 20 Lakh,Sale,4.1 Aana,2770.07 square-feet,20 Feet,,2024 September 17,674,suryabinayak,3.0,,Ranabhat Tole,4 km,8 km,200 m,3.5 km,300 m,400 m,200 m,250 m,1 km,9.7 km,11.6 km,200 m,1 km,300 m,300 m,1 km,Balkot,6,2,4,2,5,2.5
https://lalpurjanepal.com.np/properties/west-face-house-on-sale-at-balkot-bhaktapur-2798,lalpurja,house,Bhaktapur,2798,Property Details,2 Crore 65 Lakh,Residential,West,2078,Gravelled,Yes,Semi Furnished,"Bhaktapur, Balkot",2 Crore 65 Lakh,Sale,3 Aana,2150 square-feet,13 Feet,F 28 Feet,2024 September 11,432,Suryabinayak,3.0,4.5 km,Balkot | Shree Mahendra School,4.6 km,8.2 km,200 m,3.7 km,300 m,300 m,300 m,100 m,400 m,9.9 km,12 km,300 m,300 m,300 m,300 m,400 m,Balkot,6,2,3,2,3,2.5
