ad_id,title,location_raw,district,neighborhood,road_type,raw_price,land_size_aana,price_per_aana,calculated_total_price,is_price_suspect,is_price_outlier,is_rate_outlier,is_large_plot
HB-E66446,0-11-3-1 area Land for Sale at Lazimpat !!,"lajimpat, Lazimpat, Kathmandu",Kathmandu,Lajimpat,Pitched Road,9000000.0,11.8125,9000000.0,106312500.0,False,False,False,False
HB-891D57,"Land for Sale at Baneshwor, Kathmandu","baneshwar old purano baneshwor, Mahadevsthan (Mid Baneshwor), Kathmandu",Kathmandu,Baneshwor,Pitched Road,10000000.0,6.3125,1584158.415841584,10000000.0,False,False,False,False
HB-98D345,21 Aana land sale tahachal,"tachal thachal, Tahachal, Kathmandu",Kathmandu,Tachal Thachal,,6500000.0,21.0,6500000.0,136500000.0,False,False,False,False
HB-926F53,"LAND ON SALE WITH HOUSE IN TIKATHALI , IMADOL","Tikathali (Mahalaxmi), Lalitpur",Lalitpur,Tikathali,,21000000.0,4.063114682249818,5168448.7498570755,21000000.0,False,False,False,False
HB-65EF61,"8.5 AANA LAND FOR SALE IN KHUMALTAR, LALITPUR","Khumaltar, Lalitpur",Lalitpur,Khumaltar,,6400000.0,8.0,6400000.0,51200000.0,False,False,False,False
HB-B16623,"3 AANA LAND FOR SALE IN HARISIDDHI, LALITPUR","Harisiddhi, Lalitpur",Lalitpur,Harisiddhi,,4500000.0,3.0,1500000.0,4500000.0,False,False,False,False
HB-D09E8F,Land for sale at Suryabinayak Bhaktapur,"Alliant Insurance Brokrers, 303, थापाथली सडक, थापाथली, Kathmandu-11, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 00779, नेपाल",Kathmandu,Alliant Insurance Brokrers,Above 20 Ft,13500000.0,3.25,4153846.153846154,13500000.0,False,False,False,False
HB-F6B77D,ATTRACTIVE 18 AANA LAND FOR SALE IN KHUMALTAR,"Khumaltar, Lalitpur",Lalitpur,Khumaltar,,7200000.0,17.998539079620162,7200000.0,129589481.37326516,False,False,False,False
HB-017FAC,Newlly Constructing buanglow on sale at banshbari,"Maharajgunj Basundhara Golfutar, Bansbari Area, Kathmandu",Kathmandu,Maharajgunj,Pitched Road,290000000.0,31.0,9354838.709677419,290000000.0,False,False,False,False
HB-4D50B7,"land on sell at Naxal,Kathmandu","Naxal, Kathmandu",Kathmandu,Naxal,Pitched Road,73500000.0,7.0,10500000.0,73500000.0,False,False,False,False
HB-7E91BC,Semi Commercial Land on sale at Naxal Tangal.KTM,"Tangal (Naxal), Kathmandu",Kathmandu,Naxal,Pitched Road,11000000.0,7.0,1571428.5714285714,11000000.0,False,False,False,False
HB-668231,"Land on sale at Baluwatar, Kathmandu","Baluwatar, Kathmandu",Kathmandu,Baluwatar,Pitched Road,8000000.0,3.0,2666666.6666666665,8000000.0,False,False,False,False
HB-588E52,land on sell at budhanilkantha,"budanilkantha, Budhanilkantha, Kathmandu",Kathmandu,Budhanilkantha,Pitched Road,24000000.0,4.0,6000000.0,24000000.0,False,False,False,False
HB-5FDFBD,Land for sale in Budhanilkantha,"budanilkantha, Budhanilkantha, Kathmandu",Kathmandu,Budhanilkantha,,5500000.0,10.3,5500000.0,56650000.00000001,False,False,False,False
HB-7D8EF6,7 Aana Land on sale at dhumbrai Kathmandu.,"dumbarahi, Dhumbarahi, Kathmandu",Kathmandu,Dumbarahi,,5900000.0,7.0,5900000.0,41300000.0,False,False,False,False
