url,source,category,district,property_id,title,total_price_raw,property_type,property_face,year_built,road_type,negotiable,furnishing,city_area,pricing_raw,purpose,property_area,built_up_area,road_access,dimension,date_posted,views,municipality,ward_no,ring_road,landmark,hospital,airport,pharmacy,bhatbhateni,school,college,gym,public_transport,police_station,pashupatinath,boudhanath,atm,hotel,restaurant,banquet,ward_office,neighborhood,property_type_stat,land_area_aana,bedrooms,kitchens,bathrooms,living_rooms,parking,total_floors
https://lalpurjanepal.com.np/properties/house-for-sale-in-sundarbasti-bhangal-6873,lalpurja,house,Kathmandu,6873,Property Details,3 Crore 60 Lakh,Residential,North-East,2082 B S,Blacktopped,Yes,Semi Furnished,"Kathmandu, Bhangal",3 Crore 60 Lakh,Sale,3.75 Aana,1026.75 square-feet,13 Feet,,2025 June 5,101.0,Budanilkantha,08,2.5km,,,,,,,,,,,,,,,,,,Bhangal,,,7,2,5,2,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-kapan-6869,lalpurja,house,Kathmandu,6869,Property Details,5 Crore 80 Lakh,Residential,East,2016,Blacktopped,Yes,Full Furnished,"Kathmandu, Kapan",5 Crore 80 Lakh,Sale,11.5 Aana,3935.87 square-feet,20 Feet,F 16 Feet,2025 June 5,276.0,Budhanilkanta,10,200m,,,,,,,,,,,,,,,,,,Kapan,,,10,4,7,4,9,4
https://lalpurjanepal.com.np/properties/hoise-for-sale-in-sundar-basti-bhangal-6868,lalpurja,house,Kathmandu,6868,Property Details,3 Crore 10 Lakh,Residential,East,2076 BS,alley,Yes,Unfurnished,"Kathmandu, Bhangal",3 Crore 10 Lakh,Sale,4.5 Aana,1369 square-feet,13 Feet,,2025 June 5,125.0,Budanilkantha,08,2km,,,,,,,,,,,,,,,,,,Bhangal,,,6,3,5,3,1,3
https://lalpurjanepal.com.np/properties/house-for-sale-at-balaju-height-vanu-tole-6867,lalpurja,house,Kathmandu,6867,Property Details,3 Crore,Residential,North-East,2020,Blacktopped,Yes,Semi Furnished,"Kathmandu, Balaju",3 Crore,Sale,2.75 Aana,,13 Feet,F 28 Feet,2025 June 5,429.0,Kathmandu,16,800m,,,,,,,,,,,,,,,,,,Balaju,,,4,2,3,2,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-budanilkantha-6859,lalpurja,house,Kathmandu,6859,Property Details,3 Crore 80 Lakh,Residential,East,2018,Gravelled,Yes,Semi Furnished,"Kathmandu, Budhanilkantha",3 Crore 80 Lakh,Sale,4.25 Aana,1026 square-feet,13 Feet,,2025 June 4,170.0,Budhanilkantha,04,3km,,,,,,,,,,,,,,,,,,Budhanilkantha,,,7,3,4,2,2,3
https://lalpurjanepal.com.np/properties/north-east-face-house-for-sale-at-pepsicola-6857,lalpurja,house,Kathmandu,6857,Property Details,4 Crore 30 Lakh,Residential,North-East,2074,Blacktopped,Yes,Semi Furnished,"Kathmandu, Pepsicola",4 Crore 30 Lakh,Sale,3.5 Aana,2798 square-feet,20 Feet,F 23 Feet | B 23 Feet | L 49 Feet | R 49 Feet,2025 June 4,456.0,Kathmandu,32,2.5km,,,,,,,,,,,,,,,,,,Pepsicola,,,7,3,7,3,5,3.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-ghattekulo-6850,lalpurja,house,Kathmandu,6850,Property Details,6 Crore,Residential,South-West,2065,Blacktopped,Yes,Full Furnished,"Kathmandu, Ghattekulo",6 Crore,Sale,6 Aana,1197 square-feet,11 Feet,,2025 June 4,634.0,Kathmandu,29,2km,,,,,,,,,,,,,,,,,,Ghattekulo,,,12,4,4,,10,3.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-ghattekulo-6849,lalpurja,house,Kathmandu,6849,Property Details,3 Crore 20 Lakh,Residential,South,2067,Blacktopped,Yes,Full Furnished,"Kathmandu, Ghattekulo",3 Crore 20 Lakh,Sale,4.81 Aana,1197 square-feet,3 Feet,,2025 June 4,206.0,Kathmandu,29,2km,,,,,,,,,,,,,,,,,,Ghattekulo,,,6,2,3,2,7,2
https://lalpurjanepal.com.np/properties/house-for-sale-in-aakasedhara-kapan-6839,lalpurja,house,Kathmandu,6839,Property Details,2 Crores 15 Lakh,Residential,South-East,2073,Blacktopped,Yes,Unfurnished,"Kathmandu, Kapan",2 Crores 15 Lakh,Sale,3.93 Aana,2033 square-feet,13 Feet,,2025 June 3,268.0,Budanilkantha,10,1.5km,,,,,,,,,,,,,,,,,,Kapan,,,5,2,3,2,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-in-aakasedhara-6838,lalpurja,house,Kathmandu,6838,Property Details,2 Crore 20 Lakh,Residential,North-East,2070,alley,Yes,Unfurnished,"Kathmandu, Kapan",2 Crore 20 Lakh,Sale,4 Aana,,16 Feet,,2025 June 3,402.0,Budanilkantha,10,2km,,,,,,,,,,,,,,,,,,Kapan,,,4,2,3,2,1,2.5
