district,property_type,property_face,road_type,municipality,ward_no,neighborhood,price_per_aana,land_size_aana,road_width_feet,facing_road_width,hospital_m,airport_m,pharmacy_m,bhatbhateni_m,school_m,public_transport_m,police_station_m,ring_road_m,ring_road_proximity,comm_road_premium,is_corner_plot
Kathmandu,Residential,North-West,Low Access,Kathmandu,6,Boudha,4500000.0,3.0,10.0,28.0,600.0,7000.0,700.0,2000.0,1000.0,500.0,500.0,4000.0,0.12056473085830295,0.0,1
Kathmandu,Residential,East,Low Access,Budhanilkantha,11,Budhanilkantha,5000000.0,8.0,13.0,36.0,200.0,6000.0,200.0,500.0,200.0,400.0,300.0,200.0,0.18856166434639035,0.0,0
Kathmandu,Residential,North-East,High Access,Kageshwori Manohara,6,Jorpati,3800000.0,4.0,20.0,28.0,1000.0,7000.0,500.0,5000.0,1000.0,500.0,500.0,5000.0,0.1174068144882187,0.0,1
Kathmandu,Residential,South,Low Access,Budhanilkantha,4,Pasikot,3500000.0,4.06,13.0,34.0,1500.0,9000.0,300.0,5000.0,500.0,1000.0,1700.0,8000.0,0.1112678527400893,0.0,0
Kathmandu,Residential,North-East,High Access,Budhanilkantha,4,Pasikot,4500000.0,5.0,13.0,28.0,1000.0,8000.0,100.0,3000.0,200.0,50.0,500.0,3000.0,0.12489538691450888,0.0,1
Kathmandu,Residential,North,High Access,Tokha,1,High_Zone,3000000.0,5.12,20.0,32.0,2000.0,10000.0,500.0,2000.0,1000.0,200.0,1000.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Semi-commercial,North-East,High Access,Nagarjun,2,Raniban,6500000.0,8.0,26.0,55.0,1000.0,7000.0,100.0,3000.0,100.0,50.0,100.0,2000.0,0.13155467320159442,0.0,1
Kathmandu,Residential,North,High Access,Tokha,4,Mid_Zone,4000000.0,8.25,13.0,20.0,1000.0,7000.0,200.0,1000.0,200.0,200.0,500.0,2000.0,0.13155467320159442,0.0,0
Kathmandu,Residential,East,Low Access,Tarkeshwor,1,Sangla,2800000.0,3.37,13.0,30.0,2000.0,9000.0,500.0,4000.0,500.0,500.0,1000.0,6000.0,0.11494673815138318,0.0,0
Kathmandu,Residential,East,Low Access,Tarkeshwor,11,Manmaiju,3400000.0,4.12,10.0,35.0,700.0,7000.0,200.0,2000.0,500.0,200.0,1000.0,1000.0,0.1447438839476537,0.0,0
Kathmandu,Residential,East,Low Access,Gokarneshwor,3,Gokarneshwor,3100000.0,6.35,40.0,28.0,1000.0,9000.0,500.0,6000.0,1000.0,500.0,500.0,7000.0,0.11294574819586044,0.0,0
Kathmandu,Residential,West,High Access,Kathmandu,6,Guheshwori,6500000.0,2.5,13.0,24.0,2000.0,6000.0,500.0,2000.0,1000.0,500.0,1000.0,1500.0,0.13672620632778687,0.0,0
Kathmandu,Residential,North,High Access,Kathmandu,4,Dhumbarahi,7500000.0,7.0,12.0,55.0,1000.0,3000.0,500.0,1000.0,100.0,100.0,1700.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,West,Low Access,Budhanilkantha,1,Budhanilkantha,2900000.0,7.0,20.0,35.0,5000.0,8000.0,3000.0,4000.0,2000.0,4000.0,4000.0,2000.0,0.13155467320159442,0.0,0
Kathmandu,Residential,South-West,High Access,Budhanilkantha,1,Budhanilkantha,4800000.0,4.78,22.0,35.0,4000.0,9000.0,500.0,7000.0,2000.0,600.0,500.0,3500.0,0.1225369473015127,0.0,1
