district,road_type,land_size_aana,price_per_aana,is_large_plot,road_width_feet,is_wide_road,facing,source,log_land,neighborhood_encoded,road_quality_score,neighborhood_x_district,plot_size_category,location_tier,large_plot_x_neighborhood
1,3,40.5,1500000.0,0,13.0,0,7,0,3.725693427236653,14.904476029399897,2.8556229318461033,14.904476029399897,4,1,0.0
2,3,16.0,4500000.0,0,13.0,0,7,0,2.833213344056216,15.0250171273111,2.8556229318461033,30.0500342546222,3,2,0.0
1,0,5.625,5300000.0,0,13.0,0,7,0,1.890850371872286,15.49449325266486,1.0556229318461035,15.49449325266486,2,4,0.0
1,3,25.0,3500000.0,0,13.0,0,7,0,3.258096538021482,15.001119624581587,2.8556229318461033,15.001119624581587,4,2,0.0
2,0,5.5,5800000.0,0,13.0,0,7,0,1.8718021769015916,15.49449325266486,1.0556229318461035,30.98898650532972,2,4,0.0
1,0,5.0,8800000.0,0,13.0,0,7,0,1.791759469228055,15.904032096189775,1.0556229318461035,15.904032096189775,2,5,0.0
1,3,6.75,2400000.0,0,13.0,0,7,0,2.0476928433652555,14.904476029399897,2.8556229318461033,14.904476029399897,2,1,0.0
1,0,7.0,6600000.0,0,13.0,0,7,0,2.079441541679836,15.797351059185896,1.0556229318461035,15.797351059185896,2,5,0.0
2,0,5.56,3800000.0,0,13.0,0,7,0,1.8809906029559973,15.294679270475806,1.0556229318461035,30.58935854095161,2,3,0.0
1,0,14.0,9200000.0,0,13.0,0,7,0,2.70805020110221,15.797351059185896,1.0556229318461035,15.797351059185896,3,5,0.0
1,2,3.0,5500000.0,0,13.0,0,7,0,1.3862943611198906,15.797351059185896,2.255622931846103,15.797351059185896,1,5,0.0
1,2,3.0,3200000.0,0,13.0,0,7,0,1.3862943611198906,14.854775753972746,2.255622931846103,14.854775753972746,1,1,0.0
0,0,9.5,1850000.0,0,13.0,0,7,0,2.3513752571634776,14.076963152141449,1.0556229318461035,0.0,2,1,0.0
1,3,6.0,4500000.0,0,13.0,0,7,0,1.9459101490553128,15.371640665662255,2.8556229318461033,15.371640665662255,2,4,0.0
1,1,6.0,7500000.0,0,13.0,0,7,0,1.9459101490553128,15.797351059185896,1.6556229318461035,15.797351059185896,2,5,0.0
1,3,3.25,3300000.0,0,13.0,0,7,0,1.4469189829363254,14.871275810783608,2.8556229318461033,14.871275810783608,1,1,0.0
1,3,4.0,6500000.0,0,13.0,0,7,0,1.6094379124341005,15.322788745766916,2.8556229318461033,15.322788745766916,1,3,0.0
1,2,3.0,3500000.0,0,13.0,0,7,0,1.3862943611198906,15.170230074637264,2.255622931846103,15.170230074637264,1,2,0.0
1,2,8.0,5600000.0,0,13.0,0,7,0,2.19722457733622,15.170230074637264,2.255622931846103,15.170230074637264,2,2,0.0
1,0,4.0,4500000.0,0,13.0,0,7,0,1.6094379124341005,15.371640665662255,1.0556229318461035,15.371640665662255,1,4,0.0
2,0,4.0,12000000.0,0,13.0,0,7,0,1.6094379124341005,15.492551019773426,1.0556229318461035,30.985102039546852,1,4,0.0
2,0,4.0,4500000.0,0,13.0,0,7,0,1.6094379124341005,15.49449325266486,1.0556229318461035,30.98898650532972,1,4,0.0
1,0,3.5,1400000.0,0,13.0,0,7,0,1.5040773967762742,15.169167886528076,1.0556229318461035,15.169167886528076,1,2,0.0
2,0,16.0,11500000.0,0,13.0,0,7,0,2.833213344056216,15.49449325266486,1.0556229318461035,30.98898650532972,3,4,0.0
2,2,4.0,3800000.0,0,13.0,0,7,0,1.6094379124341005,15.371640665662255,2.255622931846103,30.74328133132451,1,4,0.0
2,0,6.5,6200000.0,0,13.0,0,7,0,2.0149030205422647,15.28523681593225,1.0556229318461035,30.5704736318645,2,3,0.0
1,0,3.2,4200000.0,0,13.0,0,7,0,1.4350845252893227,15.295651115191047,1.0556229318461035,15.295651115191047,1,3,0.0
1,0,4.3,4300000.0,0,13.0,0,7,0,1.667706820558076,15.350633323522374,1.0556229318461035,15.350633323522374,2,4,0.0
2,3,5.0,1350000.0,0,13.0,0,7,0,1.791759469228055,14.979781014302722,2.8556229318461033,29.959562028605443,2,2,0.0
1,0,3.0,5000000.0,0,13.0,0,7,0,1.3862943611198906,15.371640665662255,1.0556229318461035,15.371640665662255,1,4,0.0
1,1,9.0,5000000.0,0,13.0,0,7,0,2.302585092994046,15.28609246171445,1.6556229318461035,15.28609246171445,2,3,0.0
0,3,4.0,3000000.0,0,13.0,0,7,0,1.6094379124341005,14.871275810783608,2.8556229318461033,0.0,1,1,0.0
2,2,21.0,2200000.0,0,13.0,0,7,0,3.091042453358316,14.871275810783608,2.255622931846103,29.742551621567216,4,1,0.0
2,2,10.0,3700000.0,0,13.0,0,7,0,2.3978952727983707,15.324399831021834,2.255622931846103,30.64879966204367,2,3,0.0
2,0,7.0,5700000.0,0,13.0,0,7,0,2.079441541679836,15.324399831021834,1.0556229318461035,30.64879966204367,2,3,0.0
1,2,14.0,6700000.0,0,13.0,0,7,0,2.70805020110221,15.797351059185896,2.255622931846103,15.797351059185896,3,5,0.0
1,2,20.0,6400000.0,0,13.0,0,7,0,3.044522437723423,15.797351059185896,2.255622931846103,15.797351059185896,3,5,0.0
2,0,4.0,675000.0,0,13.0,0,7,0,1.6094379124341005,13.718117944699143,1.0556229318461035,27.436235889398287,1,1,0.0
1,2,40.0,5800000.0,0,13.0,0,7,0,3.713572066704308,15.170230074637264,2.255622931846103,15.170230074637264,4,2,0.0
0,2,5.0,3050000.0,0,13.0,0,7,0,1.791759469228055,15.230403246494165,2.255622931846103,0.0,2,2,0.0
1,0,4.81,4800000.0,0,13.0,0,7,0,1.7595805708638197,14.970235115388723,1.0556229318461035,14.970235115388723,2,2,0.0
